,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
352.5,8.0811250E-01,5.6784880E-01,3.7954660E-01,2.4962840E-01,1.6477300E-01,1.0998210E-01,7.4599180E-02,5.1573650E-02,3.6400440E-02,2.5929490E-02,1.8447230E-02,1.3111750E-02,9.3124210E-03,6.6096710E-03,4.6888080E-03,3.3244760E-03
357.5,7.2100920E-01,5.2599980E-01,3.6582350E-01,2.5022240E-01,1.7147720E-01,1.1861390E-01,8.3216510E-02,5.9392560E-02,4.3191650E-02,3.1671270E-02,2.3191880E-02,1.6965350E-02,1.2400100E-02,9.0568600E-03,6.6110130E-03,4.8230010E-03
362.5,8.1098830E-01,6.0795520E-01,4.3531940E-01,3.0652310E-01,2.1604390E-01,1.5353250E-01,1.1053470E-01,8.0866120E-02,6.0213200E-02,4.5179570E-02,3.3848660E-02,2.5331150E-02,1.8939540E-02,1.4149810E-02,1.0564430E-02,7.8830620E-03
367.5,9.5648830E-01,7.3155330E-01,5.3531980E-01,3.8526600E-01,2.7742430E-01,2.0131560E-01,1.4792020E-01,1.1036930E-01,8.3769980E-02,6.4043180E-02,4.8881310E-02,3.7263200E-02,2.8378130E-02,2.1593520E-02,1.6419290E-02,1.2477340E-02
372.5,8.2732390E-01,6.3927040E-01,4.7311730E-01,3.4440590E-01,2.5077530E-01,1.8394690E-01,1.3656540E-01,1.0291900E-01,7.8871180E-02,6.0872850E-02,4.6903560E-02,3.6093950E-02,2.7747050E-02,2.1311980E-02,1.6357320E-02,1.2546690E-02
377.5,9.1891200E-01,7.1192130E-01,5.2862890E-01,3.8609830E-01,2.8202800E-01,2.0748810E-01,1.5446880E-01,1.1671920E-01,8.9675720E-02,6.9394570E-02,5.3612250E-02,4.1367330E-02,3.1886260E-02,2.4556860E-02,1.8898350E-02,1.4534410E-02
382.5,7.6075520E-01,5.9478680E-01,4.4615070E-01,3.2923290E-01,2.4295110E-01,1.8053370E-01,1.3572920E-01,1.0354740E-01,8.0308210E-02,6.2725390E-02,4.8909780E-02,3.8085710E-02,2.9626310E-02,2.3025200E-02,1.7881080E-02,1.3877080E-02
387.5,8.3033660E-01,6.5731460E-01,4.9983210E-01,3.7400630E-01,2.7981170E-01,2.1075130E-01,1.6055230E-01,1.2407950E-01,9.7455200E-02,7.7067780E-02,6.0835080E-02,4.7955540E-02,3.7759860E-02,2.9703720E-02,2.3347380E-02,1.8337920E-02
392.5,8.9399460E-01,7.1363440E-01,5.4770170E-01,4.1366480E-01,3.1230220E-01,2.3728920E-01,1.8228880E-01,1.4201730E-01,1.1240990E-01,8.9568030E-02,7.1239620E-02,5.6582110E-02,4.4888520E-02,3.5576950E-02,2.8173430E-02,2.2294780E-02
397.5,1.0905758E+00,8.7886440E-01,6.8138330E-01,5.1991010E-01,3.9647800E-01,3.0422780E-01,2.3598220E-01,1.8558310E-01,1.4824060E-01,1.1918440E-01,9.5641400E-02,7.6637430E-02,6.1336800E-02,4.9041720E-02,3.9178020E-02,3.1275420E-02
402.5,1.4184770E+00,1.1541460E+00,9.0436580E-01,6.9764170E-01,5.3788640E-01,4.1727010E-01,3.2720190E-01,2.6011910E-01,2.1000980E-01,1.7062590E-01,1.3834150E-01,1.1199860E-01,9.0558100E-02,7.3145280E-02,5.9027930E-02,4.7598920E-02
407.5,1.3759930E+00,1.1248030E+00,8.8613600E-01,6.8746270E-01,5.3312820E-01,4.1603110E-01,3.2819540E-01,2.6250340E-01,2.1324390E-01,1.7432370E-01,1.4220830E-01,1.1582590E-01,9.4215900E-02,7.6554400E-02,6.2146240E-02,5.0409960E-02
412.5,1.4771160E+00,1.2082960E+00,9.5297850E-01,7.4027440E-01,5.7490090E-01,4.4931680E-01,3.5504050E-01,2.8448780E-01,2.3156120E-01,1.8969840E-01,1.5507870E-01,1.2656800E-01,1.0316570E-01,8.3997860E-02,6.8327080E-02,5.5535170E-02
417.5,1.4874020E+00,1.2155390E+00,9.5801650E-01,7.4369610E-01,5.7719210E-01,4.5082990E-01,3.5603220E-01,2.8513250E-01,2.3201560E-01,1.9003630E-01,1.5532860E-01,1.2675880E-01,1.0330800E-01,8.4103100E-02,6.8403750E-02,5.5590070E-02
422.5,1.4701500E+00,1.2007900E+00,9.4614840E-01,7.3422190E-01,5.6951100E-01,4.4447670E-01,3.5066210E-01,2.8050660E-01,2.2797710E-01,1.8653280E-01,1.5231640E-01,1.2418420E-01,1.0111810E-01,8.2246630E-02,6.6834780E-02,5.4267210E-02
427.5,1.3503490E+00,1.1015048E+00,8.6697280E-01,6.7200300E-01,5.2057750E-01,4.0570460E-01,3.1957570E-01,2.5522400E-01,2.0708700E-01,1.6919430E-01,1.3796870E-01,1.1233720E-01,9.1350550E-02,7.4205400E-02,6.0222550E-02,4.8833340E-02
432.5,1.3294340E+00,1.0817934E+00,8.4947360E-01,6.5689600E-01,5.0767670E-01,3.9471250E-01,3.1018220E-01,2.4715630E-01,2.0010690E-01,1.6316360E-01,1.3279470E-01,1.0791850E-01,8.7594200E-02,7.1022380E-02,5.7533320E-02,4.6569390E-02
437.5,1.5420310E+00,1.2498886E+00,9.7770920E-01,7.5300590E-01,5.7944590E-01,4.4845240E-01,3.5071050E-01,2.7805400E-01,2.2398300E-01,1.8175990E-01,1.4724540E-01,1.1911970E-01,9.6253260E-02,7.7697610E-02,6.2664060E-02,5.0500930E-02
442.5,1.6386950E+00,1.3256705E+00,1.0351168E+00,7.9553570E-01,6.1057260E-01,4.7105930E-01,3.6705040E-01,2.8979710E-01,2.3240190E-01,1.8776570E-01,1.5147030E-01,1.2203290E-01,9.8207980E-02,7.8959300E-02,6.3429610E-02,5.0916900E-02
447.5,1.7152170E+00,1.3884632E+00,1.0850918E+00,8.3427010E-01,6.3998500E-01,4.9304990E-01,3.8328090E-01,3.0163200E-01,2.4090540E-01,1.9383320E-01,1.5575830E-01,1.2501640E-01,1.0023912E-01,8.0300480E-02,6.4277350E-02,5.1415810E-02
452.5,1.7798600E+00,1.4449100E+00,1.1328671E+00,8.7357120E-01,6.7166610E-01,5.1826670E-01,4.0320620E-01,3.1731730E-01,2.5328370E-01,2.0364630E-01,1.6354470E-01,1.3119560E-01,1.0514289E-01,8.4191440E-02,6.7358890E-02,5.3855530E-02
457.5,1.7901770E+00,1.4631270E+00,1.1556164E+00,8.9755580E-01,6.9471660E-01,5.3929260E-01,4.2180600E-01,3.3350900E-01,2.6726440E-01,2.1570360E-01,1.7389620E-01,1.4004290E-01,1.1267258E-01,9.0573940E-02,7.2755200E-02,5.8403260E-02
462.5,1.7799060E+00,1.4636420E+00,1.1637639E+00,9.0989360E-01,7.0867590E-01,5.5331070E-01,4.3505710E-01,3.4561970E-01,2.7813700E-01,2.2537670E-01,1.8242670E-01,1.4750020E-01,1.1915295E-01,9.6171780E-02,7.7564980E-02,6.2516580E-02
467.5,1.7790760E+00,1.4702980E+00,1.1755268E+00,9.2405810E-01,7.2326500E-01,5.6719010E-01,4.4767710E-01,3.5679910E-01,2.8791140E-01,2.3388600E-01,1.8980470E-01,1.5387440E-01,1.2463000E-01,1.0085917E-01,8.1561930E-02,6.5913620E-02
472.5,1.7931770E+00,1.4879750E+00,1.1950004E+00,9.4341430E-01,7.4121230E-01,5.8312260E-01,4.6143480E-01,3.6847570E-01,2.9773230E-01,2.4214110E-01,1.9675120E-01,1.5972060E-01,1.2954390E-01,1.0498317E-01,8.5018240E-02,6.8805880E-02
477.5,1.8308830E+00,1.5220170E+00,1.2249058E+00,9.6876620E-01,7.6204260E-01,5.9983360E-01,4.7458770E-01,3.7866350E-01,3.0550690E-01,2.4807620E-01,2.0128700E-01,1.6318270E-01,1.3218040E-01,1.0698571E-01,8.6533740E-02,6.9948470E-02
482.5,1.8124600E+00,1.5089890E+00,1.2165909E+00,9.6368690E-01,7.5883240E-01,5.9758130E-01,4.7273800E-01,3.7690260E-01,3.0368360E-01,2.4625840E-01,1.9955890E-01,1.6158210E-01,1.3072794E-01,1.0568763E-01,8.5387510E-02,6.8940570E-02
487.5,1.6844520E+00,1.4050951E+00,1.1353025E+00,9.0107730E-01,7.1058040E-01,5.6009790E-01,4.4322780E-01,3.5327170E-01,2.8440480E-01,2.3038130E-01,1.8652670E-01,1.5090660E-01,1.2198638E-01,9.8546560E-02,7.9559830E-02,6.4194410E-02
