,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
352.5,6.3428200E-01,4.1797400E-01,2.6946800E-01,1.7305800E-01,1.1238800E-01,7.4134800E-02,4.9835700E-02,3.4220000E-02,2.4050600E-02,1.7104300E-02,1.2154700E-02,8.6317400E-03,6.1265000E-03,4.3461800E-03,3.0818800E-03,2.1844100E-03
357.5,5.6275700E-01,3.8474900E-01,2.5765800E-01,1.7182200E-01,1.1570600E-01,7.9018400E-02,5.4903300E-02,3.8900100E-02,2.8160000E-02,2.0608400E-02,1.5069300E-02,1.1011300E-02,8.0413400E-03,5.8693200E-03,4.2819700E-03,3.1224900E-03
362.5,6.3087500E-01,4.4305600E-01,3.0507300E-01,2.0916000E-01,1.4470100E-01,1.0143300E-01,7.2268900E-02,5.2456400E-02,3.8863900E-02,2.9092800E-02,2.1758900E-02,1.6261700E-02,1.2145700E-02,9.0664800E-03,6.7645700E-03,5.0448500E-03
367.5,7.4305900E-01,5.3232900E-01,3.7420000E-01,2.6193100E-01,1.8494700E-01,1.3226600E-01,9.6104100E-02,7.1098200E-02,5.3665400E-02,4.0916700E-02,3.1167000E-02,2.3721700E-02,1.8042900E-02,1.3715500E-02,1.0420500E-02,7.9134400E-03
372.5,6.4399800E-01,4.6618500E-01,3.3129400E-01,2.3444800E-01,1.6732400E-01,1.2091800E-01,8.8752800E-02,6.6307200E-02,5.0526800E-02,3.8885100E-02,2.9897100E-02,2.2968000E-02,1.7632600E-02,1.3528500E-02,1.0374200E-02,7.9516000E-03
377.5,7.1915800E-01,5.2217300E-01,3.7229400E-01,2.6432400E-01,1.8924400E-01,1.3717400E-01,1.0097300E-01,7.5648600E-02,5.7799800E-02,4.4600000E-02,3.4381800E-02,2.6483300E-02,2.0385400E-02,1.5682100E-02,1.2057500E-02,9.2662400E-03
382.5,5.9660500E-01,4.3721800E-01,3.1476100E-01,2.2567500E-01,1.6314800E-01,1.1939800E-01,8.8726100E-02,6.7094500E-02,5.1736400E-02,4.0286000E-02,3.1339000E-02,2.4358000E-02,1.8919400E-02,1.4686000E-02,1.1393600E-02,8.8350000E-03
387.5,6.5122900E-01,4.8324000E-01,3.5245500E-01,2.5604700E-01,1.8753700E-01,1.3902300E-01,1.0462300E-01,8.0105900E-02,6.2528600E-02,4.9281300E-02,3.8800900E-02,3.0523200E-02,2.3993800E-02,1.8849000E-02,1.4799000E-02,1.1612900E-02
392.5,7.0212600E-01,5.2545800E-01,3.8667400E-01,2.8342500E-01,2.0940800E-01,1.5655800E-01,1.1878500E-01,9.1672900E-02,7.2104900E-02,5.7252200E-02,4.5413900E-02,3.5992200E-02,2.8503800E-02,2.2558700E-02,1.7843200E-02,1.4106100E-02
397.5,8.5357900E-01,6.4501900E-01,4.7941700E-01,3.5493500E-01,2.6484500E-01,1.9993200E-01,1.5315100E-01,1.1929700E-01,9.4688000E-02,7.5862000E-02,6.0713700E-02,4.8546600E-02,3.8787800E-02,3.0969700E-02,2.4712700E-02,1.9709300E-02
