,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,7.4678120E-01,1.4688979E-01,2.2196950E-02,3.6044390E-03,5.9798110E-04,8.8957010E-05,1.5828848E-05,3.7915950E-06,1.0834849E-06,2.8791590E-07,7.5835810E-08,2.1634130E-08,6.0737190E-09,2.4781810E-09,8.0599130E-10,4.4493250E-10,2.2581500E-10,1.2049990E-10,7.3406690E-11,4.5187960E-11,2.9597880E-11,1.9431670E-11,1.2850550E-11,8.6884190E-12,5.9425700E-12,4.0899840E-12,2.8208090E-12,1.9641220E-12,1.3700610E-12,9.4233240E-13,6.5048630E-13,4.5341450E-13,3.1538640E-13,2.1271090E-13,1.4173320E-13,9.5326800E-14,6.4865090E-14,4.4052590E-14,3.0569910E-14,2.1086370E-14,1.4575050E-14
357.5,6.6482010E-01,1.5285249E-01,2.6882210E-02,5.0147070E-03,9.5237520E-04,1.6350039E-04,3.3106300E-05,8.8208000E-06,2.7661620E-06,8.1117920E-07,2.3596330E-07,7.3890830E-08,2.2814570E-08,9.9503170E-09,3.5232520E-09,2.0345620E-09,1.0872996E-09,6.0886080E-10,3.8548400E-10,2.4650370E-10,1.6697270E-10,1.1336330E-10,7.7484920E-11,5.4060730E-11,3.8128650E-11,2.7047060E-11,1.9223760E-11,1.3783830E-11,9.9001100E-12,7.0176130E-12,4.9914980E-12,3.5823270E-12,2.5660800E-12,1.7860480E-12,1.2292540E-12,8.5342770E-13,5.9900740E-13,4.1965100E-13,2.9995960E-13,2.1322910E-13,1.5185480E-13
362.5,7.4647590E-01,1.8921100E-01,3.6584910E-02,7.4423100E-03,1.5377331E-03,2.8856910E-04,6.3346380E-05,1.8053730E-05,6.0085580E-06,1.8759330E-06,5.8122740E-07,1.9318460E-07,6.3377520E-08,2.8894380E-08,1.0807624E-08,6.4452150E-09,3.5692730E-09,2.0674590E-09,1.3468590E-09,8.8570860E-10,6.1548670E-10,4.2863210E-10,3.0044970E-10,2.1477270E-10,1.5511750E-10,1.1264620E-10,8.1957220E-11,6.0136130E-11,4.4193400E-11,3.2068290E-11,2.3344220E-11,1.7140780E-11,1.2561260E-11,8.9559810E-12,6.3170590E-12,4.4936700E-12,3.2302320E-12,2.3178680E-12,1.6957750E-12,1.2338630E-12,8.9941010E-13
367.5,8.7917130E-01,2.3628150E-01,4.8340600E-02,1.0353155E-02,2.2490320E-03,4.4487290E-04,1.0245995E-04,3.0418460E-05,1.0501256E-05,3.4064750E-06,1.0968710E-06,3.7818970E-07,1.2877271E-07,6.0430520E-08,2.3388320E-08,1.4273430E-08,8.1004210E-09,4.8046910E-09,3.1977830E-09,2.1475620E-09,1.5222910E-09,1.0811770E-09,7.7279280E-10,5.6311320E-10,4.1449190E-10,3.0669540E-10,2.2733800E-10,1.6990750E-10,1.2716540E-10,9.3995800E-11,6.9702440E-11,5.2121550E-11,3.8897080E-11,2.8253000E-11,2.0309080E-11,1.4722650E-11,1.0783100E-11,7.8844890E-12,5.8750590E-12,4.3547330E-12,3.2335700E-12
372.5,7.6194290E-01,2.1221470E-01,4.4936580E-02,9.9269650E-03,2.2223980E-03,4.5380740E-04,1.0756018E-04,3.2699230E-05,1.1530122E-05,3.8246550E-06,1.2594142E-06,4.4353230E-07,1.5428260E-07,7.3579810E-08,2.9023630E-08,1.7922450E-08,1.0306628E-08,6.1894820E-09,4.1635820E-09,2.8262770E-09,2.0235590E-09,1.4517230E-09,1.0480480E-09,7.7110630E-10,5.7300960E-10,4.2805630E-10,3.2029020E-10,2.4161820E-10,1.8253950E-10,1.3622500E-10,1.0197580E-10,7.6972220E-11,5.7988220E-11,4.2530550E-11,3.0875350E-11,2.2601440E-11,1.6714180E-11,1.2339480E-11,9.2817210E-12,6.9451630E-12,5.2058610E-12
377.5,8.5001120E-01,2.3998770E-01,5.1448210E-02,1.1483540E-02,2.5966910E-03,5.3594000E-04,1.2819856E-04,3.9245750E-05,1.3925867E-05,4.6507960E-06,1.5418440E-06,5.4637120E-07,1.9121130E-07,9.1612100E-08,3.6305070E-08,2.2475480E-08,1.2969830E-08,7.8108960E-09,5.2662020E-09,3.5835730E-09,2.5718290E-09,1.8498310E-09,1.3386370E-09,9.8732500E-10,7.3552310E-10,5.5083280E-10,4.1321800E-10,3.1252140E-10,2.3672370E-10,1.7712230E-10,1.3294270E-10,1.0060380E-10,7.6003840E-11,5.5909880E-11,4.0702420E-11,2.9872400E-11,2.2149610E-11,1.6393390E-11,1.2363740E-11,9.2754930E-12,6.9704720E-12
382.5,7.0463150E-01,2.0382490E-01,4.4711030E-02,1.0187526E-02,2.3501380E-03,4.9533620E-04,1.2076552E-04,3.7575340E-05,1.3531728E-05,4.5893940E-06,1.5452830E-06,5.5570820E-07,1.9738770E-07,9.5741190E-08,3.8458420E-08,2.4052390E-08,1.4029010E-08,8.5363990E-09,5.8114620E-09,3.9929210E-09,2.8926300E-09,2.1001550E-09,1.5339290E-09,1.1418690E-09,8.5841340E-10,6.4872620E-10,4.9109460E-10,3.7479440E-10,2.8646840E-10,2.1628270E-10,1.6378800E-10,1.2506960E-10,9.5340140E-11,7.0780020E-11,5.1999600E-11,3.8514590E-11,2.8818100E-11,2.1523430E-11,1.6379110E-11,1.2400580E-11,9.4033340E-12
387.5,7.6888990E-01,2.2982810E-01,5.2037830E-02,1.2203649E-02,2.8952500E-03,6.2835410E-04,1.5737450E-04,5.0116630E-05,1.8431570E-05,6.3893090E-06,2.1990730E-06,8.0767340E-07,2.9304540E-07,1.4460050E-07,5.9237110E-08,3.7581270E-08,2.2250680E-08,1.3738350E-08,9.4804730E-09,6.6014880E-09,4.8442390E-09,3.5620450E-09,2.6347640E-09,1.9858940E-09,1.5114660E-09,1.1563570E-09,8.8609420E-10,6.8444530E-10,5.2947110E-10,4.0459860E-10,3.1011450E-10,2.3966050E-10,1.8488780E-10,1.3891240E-10,1.0331120E-10,7.7453050E-11,5.8668330E-11,4.4359740E-11,3.4168460E-11,2.6181520E-11,2.0095010E-11
392.5,8.2898330E-01,2.5547220E-01,5.9569450E-02,1.4344276E-02,3.4916510E-03,7.7858050E-04,1.9981990E-04,6.4930150E-05,2.4313270E-05,8.5895480E-06,3.0132250E-06,1.1268054E-06,4.1631320E-07,2.0823840E-07,8.6687500E-08,5.5537140E-08,3.3245070E-08,2.0737730E-08,1.4436060E-08,1.0139900E-08,7.5011350E-09,5.5602990E-09,4.1460850E-09,3.1494530E-09,2.4154570E-09,1.8619880E-09,1.4376520E-09,1.1188470E-09,8.7195740E-10,6.7143800E-10,5.1855300E-10,4.0374380E-10,3.1382020E-10,2.3765760E-10,1.7815500E-10,1.3462700E-10,1.0275980E-10,7.8291780E-11,6.0759490E-11,4.6911530E-11,3.6278230E-11
397.5,1.0091056E+00,3.1920730E-01,7.6365580E-02,1.8837340E-02,4.6950880E-03,1.0734042E-03,2.8182880E-04,9.3368840E-05,3.5576460E-05,1.2799578E-05,4.5731070E-06,1.7401000E-06,6.5425230E-07,3.3182560E-07,1.4035450E-07,9.0905730E-08,5.5055770E-08,3.4729640E-08,2.4421950E-08,1.7326500E-08,1.2939990E-08,9.6810140E-09,7.2862400E-09,5.5858450E-09,4.3230650E-09,3.3626200E-09,2.6195930E-09,2.0570210E-09,1.6174850E-09,1.2566030E-09,9.7910500E-10,7.6911310E-10,6.0314380E-10,4.6085120E-10,3.4863820E-10,2.6587180E-10,2.0478700E-10,1.5745340E-10,1.2329050E-10,9.6042700E-11,7.4936870E-11
