,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,6.2550600E-01,1.0535300E-01,1.5531000E-02,2.5067600E-03,4.1544700E-04,6.1750800E-05,1.0962300E-05,2.6161100E-06,7.4849700E-07,1.9895200E-07,5.2372900E-08,1.4926700E-08,4.1582500E-09,1.7068600E-09,5.4478700E-10,2.9945300E-10,1.5182700E-10,8.0424000E-11,4.8715900E-11,2.9860500E-11,1.9525700E-11,1.2816400E-11,8.4539600E-12,5.7103200E-12,3.9022800E-12,2.6858600E-12,1.8514500E-12,1.2895600E-12,9.0088000E-13,6.1954600E-13,4.2736200E-13,2.9814500E-13,2.0800700E-13,1.4054600E-13,9.3571100E-14,6.2819000E-14,4.2735100E-14,2.8947200E-14,2.0103000E-14,1.3862700E-14,9.5714700E-15
357.5,5.5472000E-01,1.0841200E-01,1.8542200E-02,3.4352900E-03,6.5158900E-04,1.1174700E-04,2.2573400E-05,5.9932600E-06,1.8818100E-06,5.5198000E-07,1.6046800E-07,5.0206000E-08,1.5382300E-08,6.7474000E-09,2.3448000E-09,1.3488100E-09,7.1984000E-10,4.0011400E-10,2.5194300E-10,1.6042100E-10,1.0848700E-10,7.3631600E-11,5.0200000E-11,3.4990500E-11,2.4657700E-11,1.7491500E-11,1.2426300E-11,8.9127600E-12,6.4107700E-12,4.5437700E-12,3.2298700E-12,2.3201800E-12,1.6668600E-12,1.1621400E-12,7.9915600E-13,5.5383800E-13,3.8862200E-13,2.7157200E-13,1.9425400E-13,1.3804300E-13,9.8207300E-14
362.5,6.2165100E-01,1.3327600E-01,2.5003400E-02,5.0485200E-03,1.0416000E-03,1.9524000E-04,4.2755800E-05,1.2143800E-05,4.0466200E-06,1.2636900E-06,3.9129300E-07,1.2994300E-07,4.2303100E-08,1.9391600E-08,7.1187600E-09,4.2290600E-09,2.3381800E-09,1.3441100E-09,8.7077400E-10,5.7009400E-10,3.9546600E-10,2.7527100E-10,1.9244400E-10,1.3741800E-10,9.9157700E-11,7.2003800E-11,5.2360100E-11,3.8431200E-11,2.8282600E-11,2.0520400E-11,1.4929200E-11,1.0972500E-11,8.0646600E-12,5.7596900E-12,4.0590300E-12,2.8822500E-12,2.0711600E-12,1.4824300E-12,1.0852600E-12,7.8937400E-13,5.7479700E-13
367.5,7.3200100E-01,1.6583900E-01,3.2866500E-02,6.9837100E-03,1.5146500E-03,2.9924000E-04,6.8752300E-05,2.0342500E-05,7.0310400E-06,2.2813000E-06,7.3411000E-07,2.5288800E-07,8.5450200E-08,4.0307500E-08,1.5310600E-08,9.3059700E-09,5.2715700E-09,3.1022100E-09,2.0525200E-09,1.3719400E-09,9.7049000E-10,6.8879400E-10,4.9092400E-10,3.5726600E-10,2.6268600E-10,1.9433400E-10,1.4396200E-10,1.0762000E-10,8.0657900E-11,5.9614300E-11,4.4180800E-11,3.3069700E-11,2.4753400E-11,1.8011800E-11,1.2936500E-11,9.3609100E-12,6.8531900E-12,4.9979400E-12,3.7262900E-12,2.7609100E-12,2.0478200E-12
372.5,6.3466000E-01,1.4870000E-01,3.0467600E-02,6.6761400E-03,1.4920700E-03,3.0428700E-04,7.1954300E-05,2.1806000E-05,7.6980400E-06,2.5540700E-06,8.4052000E-07,2.9576200E-07,1.0212400E-07,4.8944700E-08,1.8960000E-08,1.1663700E-08,6.6947300E-09,3.9896600E-09,2.6685600E-09,1.8031400E-09,1.2884400E-09,9.2368500E-10,6.6498700E-10,4.8865600E-10,3.6273800E-10,2.7092600E-10,2.0259700E-10,1.5287500E-10,1.1564900E-10,8.6301100E-11,6.4567900E-11,4.8784800E-11,3.6860100E-11,2.7080500E-11,1.9642800E-11,1.4353200E-11,1.0609900E-11,7.8131800E-12,5.8802500E-12,4.3982300E-12,3.2932100E-12
377.5,7.0932800E-01,1.6827100E-01,3.4881000E-02,7.7220500E-03,1.7430300E-03,3.5928100E-04,8.5757600E-05,2.6180200E-05,9.3007100E-06,3.1067500E-06,1.0293700E-06,3.6451100E-07,1.2668600E-07,6.0984800E-08,2.3760400E-08,1.4661600E-08,8.4456000E-09,5.0500300E-09,3.3874400E-09,2.2954200E-09,1.6445900E-09,1.1821900E-09,8.5335300E-10,6.2872000E-10,4.6796700E-10,3.5042100E-10,2.6274800E-10,1.9878200E-10,1.5076800E-10,1.1280000E-10,8.4623800E-11,6.4101300E-11,4.8560600E-11,3.5776100E-11,2.6023000E-11,1.9066800E-11,1.4132100E-11,1.0435200E-11,7.8741800E-12,5.9052600E-12,4.4333800E-12
382.5,5.8859600E-01,1.4281800E-01,3.0266000E-02,6.8385300E-03,1.5746400E-03,3.3144300E-04,8.0640300E-05,2.5024600E-05,9.0223700E-06,3.0605800E-06,1.0299500E-06,3.7013300E-07,1.3059100E-07,6.3629300E-08,2.5139100E-08,1.5671900E-08,9.1243800E-09,5.5128300E-09,3.7338800E-09,2.5546300E-09,1.8474300E-09,1.3404200E-09,9.7653500E-10,7.2612600E-10,5.4536300E-10,4.1208800E-10,3.1180000E-10,2.3802700E-10,1.8216400E-10,1.3752500E-10,1.0409800E-10,7.9567700E-11,6.0821200E-11,4.5220900E-11,3.3194600E-11,2.4545200E-11,1.8358300E-11,1.3679200E-11,1.0415000E-11,7.8822100E-12,5.9711300E-12
387.5,6.4247000E-01,1.6076500E-01,3.5127300E-02,8.1666000E-03,1.9336900E-03,4.1909300E-04,1.0474800E-04,3.3270600E-05,1.2249700E-05,4.2471200E-06,1.4609700E-06,5.3620500E-07,1.9326200E-07,9.5773200E-08,3.8593900E-08,2.4402100E-08,1.4419700E-08,8.8388500E-09,6.0667600E-09,4.2057800E-09,3.0801100E-09,2.2629900E-09,1.6693600E-09,1.2566300E-09,9.5540100E-10,7.3075900E-10,5.5964200E-10,4.3237900E-10,3.3489400E-10,2.5590000E-10,1.9604800E-10,1.5165500E-10,1.1731700E-10,8.8288400E-11,6.5605700E-11,4.9104700E-11,3.7177000E-11,2.8042700E-11,2.1609900E-11,1.6551500E-11,1.2690600E-11
392.5,6.9285900E-01,1.7840200E-01,4.0103100E-02,9.5711000E-03,2.3250000E-03,5.1771000E-04,1.3260500E-04,4.2985000E-05,1.6113600E-05,5.6936900E-06,1.9962900E-06,7.4602600E-07,2.7387400E-07,1.3755200E-07,5.6358500E-08,3.5992300E-08,2.1503200E-08,1.3318900E-08,9.2238400E-09,6.4509600E-09,4.7630200E-09,3.5277300E-09,2.6235600E-09,1.9904200E-09,1.5249600E-09,1.1752600E-09,9.0692300E-10,7.0597100E-10,5.5085600E-10,4.2415900E-10,3.2743600E-10,2.5518800E-10,1.9888400E-10,1.5084800E-10,1.1298900E-10,8.5242400E-11,6.5033500E-11,4.9433500E-11,3.8380400E-11,2.9620400E-11,2.2883300E-11
397.5,8.4198700E-01,2.2226400E-01,5.1251400E-02,1.2530700E-02,3.1169600E-03,7.1163600E-04,1.8648600E-04,6.1638700E-05,2.3511800E-05,8.4605000E-06,3.0212700E-06,1.1488700E-06,4.2926800E-07,2.1857000E-07,9.1019100E-08,5.8765000E-08,3.5518500E-08,2.2247900E-08,1.5563300E-08,1.0993600E-08,8.1938300E-09,6.1246500E-09,4.5972000E-09,3.5196900E-09,2.7210200E-09,2.1158900E-09,1.6474000E-09,1.2938800E-09,1.0186000E-09,7.9131400E-10,6.1630100E-10,4.8458400E-10,3.8102600E-10,2.9159300E-10,2.2042100E-10,1.6781500E-10,1.2919400E-10,9.9101900E-11,7.7629500E-11,6.0446800E-11,4.7115200E-11
