PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Tue Apr 27 15:10:21 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:39:02
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
NaN	NaN	4.00000000	0.94360525	1.25894952	1.48529876	1.60930113	1.33768512	0.89443298	0.58423618	0.35948618	0.09900446	0.02149962	0.00851977	0.00729997	0.00449765	1999117.00000000	151022287.00000000	4.00000000	79.81902612	92.81277057	100.49036336	110.76636315	117.23042451	103.64367910	98.01132384	81.14101009	50.42211802	25.00920529	13.33614730	10.41515276	3.03567502
1999117.00000000	151022142.00000000	5.00000000	0.91488359	1.22354953	1.45003939	1.57589887	1.31272182	0.87760389	0.57139389	0.35022834	0.09451848	0.01931526	0.00756907	0.00661916	0.00423984	1999117.00000000	151023322.00000000	5.00000000	67.32279720	80.47638359	86.97699005	97.15769951	103.43034331	87.48110143	80.72412243	66.73366068	37.16312570	16.21664464	7.73215292	5.68990342	1.27500128
1999117.00000000	151023172.00000000	6.00000000	0.84825809	1.14116600	1.36719220	1.49410547	1.24696172	0.82647944	0.53280978	0.32287696	0.08310713	0.01607646	0.00637957	0.00576121	0.00386836	1999117.00000000	151024243.00000000	6.00000000	80.36423996	96.64156574	109.20592641	124.12553097	129.90570841	110.36826798	103.68691635	83.64673265	43.27145590	16.01588997	6.58397215	4.64191620	0.90229032
1999117.00000000	151024113.00000000	7.00000000	0.79349164	1.07417535	1.30061497	1.42960442	1.19708913	0.78684670	0.50325665	0.30121105	0.07306413	0.01321898	0.00531818	0.00498105	0.00353128	1999117.00000000	151025165.00000000	7.00000000	65.83458271	79.23986114	88.34211273	98.66691201	103.12186716	85.88910950	79.29431640	62.16344838	29.38823189	8.92068244	3.11374115	2.27050677	0.40112392
1999117.00000000	151025039.00000000	8.00000000	0.74934542	1.01970601	1.24960783	1.38099748	1.15843378	0.75865235	0.48098860	0.28557819	0.06656259	0.01162553	0.00486015	0.00476101	0.00338417	1999117.00000000	151026100.00000000	8.00000000	70.41555967	84.86217075	96.96869305	109.54301893	114.91123683	95.30973195	87.43822720	67.69629726	29.78738119	7.72566136	2.36983202	1.75670435	0.33017779
1999117.00000000	151025970.00000000	9.00000000	0.69416702	0.95072845	1.17854203	1.31072693	1.10384542	0.71626627	0.45085529	0.26392989	0.05820711	0.00982674	0.00426545	0.00439292	0.00314095	1999117.00000000	151027068.00000000	9.00000000	61.51959632	74.90999393	85.47974630	96.61708893	101.35961544	81.86658687	73.89320449	56.20955988	22.63311110	4.97277154	1.31804967	1.04559667	0.22269055
1999117.00000000	151026931.00000000	10.00000000	0.63325122	0.87189865	1.09489009	1.22651585	1.03610992	0.66711899	0.41470231	0.24028838	0.05101503	0.00858275	0.00389169	0.00420059	0.00294289	1999117.00000000	151027983.00000000	10.00000000	63.21955213	76.98625250	89.87806351	102.05034804	106.97967852	86.07767369	77.26304066	57.80906715	21.57382120	4.04594940	0.94201942	0.80301481	0.19335092
1999117.00000000	151027870.00000000	11.00000000	0.60135478	0.83208566	1.05761225	1.19166770	1.01018594	0.64949066	0.40184138	0.23150842	0.04735887	0.00783018	0.00367435	0.00413303	0.00283095	1999117.00000000	151028919.00000000	11.00000000	54.85143473	67.29770769	78.59927799	89.28281168	93.07675607	73.01731983	64.39245606	47.25207756	16.02986433	2.55299718	0.51447387	0.48479237	0.14969420
1999117.00000000	151028794.00000000	12.00000000	0.56170771	0.78103896	1.00329874	1.13819067	0.96960494	0.62154126	0.38303908	0.21956571	0.04407301	0.00737941	0.00358055	0.00423299	0.00275679	1999117.00000000	151029840.00000000	12.00000000	50.51324404	62.15981589	73.30792324	83.38945125	87.01887286	67.26511923	58.61351386	42.33684443	13.32110038	1.83935558	0.33950666	0.37229922	0.13115229
1999117.00000000	151029708.00000000	13.00000000	0.50996070	0.71379609	0.93112343	1.06507254	0.91012728	0.57839433	0.35255889	0.19964589	0.03842749	0.00646746	0.00323042	0.00392888	0.00253828	1999117.00000000	151030761.00000000	13.00000000	48.35601929	59.89148003	71.48895219	81.79487597	85.36861585	64.99366568	56.04386413	39.89961164	11.63648046	1.39598845	0.22536760	0.30953629	0.12336242
