PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Tue Apr 27 15:10:21 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:04
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
4.00000000	0.05326148	0.04911356	0.04142840	0.03713616	0.03511532	0.03950746	0.04607042	0.05370221	0.08751720	0.14533983	0.14464448	0.11836114	0.07536197
5.00000000	0.05954066	0.05458788	0.04571678	0.04085048	0.03845359	0.04444899	0.05175294	0.06119077	0.10401468	0.16426863	0.15847436	0.12855076	0.08173782
6.00000000	0.06033695	0.05517294	0.04543259	0.04034160	0.03799532	0.04384546	0.05159020	0.06110939	0.10515020	0.16089056	0.14755801	0.11391486	0.07517566
7.00000000	0.06761533	0.06171020	0.05045546	0.04472095	0.04202466	0.04919181	0.05761856	0.06885591	0.11915632	0.16757292	0.14190781	0.10106367	0.07337245
8.00000000	0.07183658	0.06603453	0.05427694	0.04815162	0.04515664	0.05223947	0.06111609	0.07229907	0.12033503	0.15517497	0.12091000	0.07574941	0.06640125
9.00000000	0.07228487	0.06673427	0.05458227	0.04827166	0.04511126	0.05122652	0.05983683	0.06990659	0.11331895	0.13507841	0.09617391	0.04984976	0.05818129
10.00000000	0.07199644	0.06665823	0.05473373	0.04819605	0.04445365	0.04965462	0.05705021	0.06567958	0.10308439	0.11361409	0.07602742	0.02960836	0.05140005
11.00000000	0.07366435	0.06833104	0.05586438	0.04898156	0.04522813	0.04983583	0.05712814	0.06484647	0.09767418	0.09877067	0.06391965	0.02155931	0.04914061
12.00000000	0.07203004	0.06646860	0.05379943	0.04659633	0.04242844	0.04645150	0.05263799	0.05975146	0.09040872	0.08631697	0.05607932	0.01733918	0.04665875
13.00000000	0.07852325	0.07283105	0.05983539	0.05237245	0.04821205	0.05283140	0.05955413	0.06736573	0.09657021	0.08419960	0.05719483	0.02394374	0.05190863
14.00000000	0.08417774	0.07837276	0.06503276	0.05738042	0.05315607	0.05836999	0.06546508	0.07415072	0.10396934	0.08577283	0.06182022	0.03332113	0.05930752
15.00000000	0.08744314	0.08169364	0.06792586	0.05993253	0.05560542	0.06076248	0.06810084	0.07695296	0.10581334	0.08237151	0.05888336	0.02966799	0.06096009
16.00000000	0.08877369	0.08285399	0.06834184	0.05985286	0.05524785	0.06015237	0.06741213	0.07602214	0.10429315	0.07939903	0.05327213	0.01558541	0.05745471
17.00000000	0.08892785	0.08285351	0.06786486	0.05878334	0.05360257	0.05799926	0.06460068	0.07248219	0.09916201	0.07590491	0.04537234	-0.00587107	0.04975509
18.00000000	0.08996946	0.08387539	0.06867463	0.05927139	0.05389883	0.05763559	0.06351537	0.07050514	0.09439053	0.07362374	0.03915428	-0.02128666	0.04295372
19.00000000	0.09317685	0.08726625	0.07245357	0.06303495	0.05757120	0.06117301	0.06635552	0.07267183	0.09226943	0.07130071	0.03636195	-0.02506252	0.04040045
20.00000000	0.09714851	0.09135998	0.07641092	0.06689357	0.06165127	0.06554869	0.07133908	0.07780810	0.09550841	0.07289921	0.04099926	-0.01148916	0.04571246
21.00000000	0.09402928	0.08806945	0.07298831	0.06338668	0.05790096	0.06117733	0.06676494	0.07249366	0.08795799	0.06423186	0.03716133	-0.00536854	0.04378504
22.00000000	0.09775604	0.09032535	0.07532173	0.06574050	0.05995789	0.06326320	0.06862381	0.07451608	0.08770223	0.06256615	0.03704577	-0.00044906	0.04608453
23.00000000	0.10671209	0.09883050	0.08391132	0.07401660	0.06794544	0.07174557	0.07751234	0.08377537	0.09568118	0.07097480	0.04163260	0.00285667	0.05302457
24.00000000	0.11062426	0.10330788	0.08815994	0.07792082	0.07169859	0.07496077	0.08063685	0.08609206	0.09567945	0.07331434	0.03587991	-0.00795348	0.04921961
25.00000000	0.10782878	0.10172521	0.08609175	0.07557287	0.06904305	0.07127041	0.07601334	0.08021810	0.08696515	0.06618959	0.01933039	-0.03072489	0.03499181
26.00000000	0.10827784	0.10470838	0.08744959	0.07630817	0.06931324	0.07167123	0.07625170	0.08040822	0.08610273	0.06599274	0.01263091	-0.03804315	0.02680553
27.00000000	0.11439378	0.11246811	0.09337155	0.08196724	0.07471284	0.07752081	0.08251950	0.08708011	0.09007081	0.06906855	0.01488872	-0.03037857	0.02865306
28.00000000	0.12272300	0.12182100	0.10218863	0.09058737	0.08328055	0.08672503	0.09252870	0.09751672	0.09733298	0.07452306	0.01998254	-0.01926522	0.03453280
29.00000000	0.12738005	0.12631128	0.10722291	0.09546005	0.08806913	0.09151561	0.09797378	0.10284017	0.10009170	0.07696426	0.02193537	-0.01213274	0.03665417
30.00000000	0.12586757	0.12338671	0.10642485	0.09397615	0.08632140	0.08907150	0.09520830	0.09938971	0.09439819	0.07058459	0.01703554	-0.01392946	0.03207451
31.00000000	0.12692260	0.12317070	0.10855018	0.09448785	0.08641565	0.08911362	0.09494251	0.09897171	0.09304062	0.07169472	0.01480307	-0.01447270	0.02861016
32.00000000	0.13130314	0.12744824	0.11352982	0.09866186	0.09018993	0.09308830	0.09930915	0.10352329	0.09621553	0.07685073	0.01872139	-0.00754062	0.03121681
33.00000000	0.13429017	0.13060479	0.11618691	0.10172720	0.09351874	0.09557946	0.10192613	0.10628037	0.09720339	0.07884475	0.02134856	0.00019469	0.03416529
34.00000000	0.13433635	0.13075219	0.11509841	0.10269080	0.09494850	0.09507294	0.10144233	0.10551388	0.09502462	0.07876252	0.02641701	0.00810698	0.03821316
35.00000000	0.13257478	0.12912330	0.11247817	0.10238498	0.09450356	0.09342310	0.09991355	0.10398368	0.09402081	0.07834177	0.03693240	0.02180261	0.04737396
