PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : DD MM.MMM N
LONGITUDE : DDD MM.MMM E
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:39:52
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
1999119.00000000	140140221.00000000	3.00000000	1.31607020	1.71015351	1.86267031	1.83943807	1.41275973	0.88155042	0.56068790	0.34224868	0.10135113	0.02455456	0.00984517	0.00783376	0.00513624	1999119.00000000	140141747.00000000	3.00000000	86.62880863	100.57962593	105.33615889	112.79728965	113.23565841	105.08226051	106.78538412	88.58676598	60.39880048	36.69723108	22.82948039	17.05829327	7.19280160
1999119.00000000	140141563.00000000	4.00000000	1.18771049	1.55511400	1.70398916	1.68850707	1.29216934	0.78785984	0.49167088	0.29437451	0.08373757	0.01968145	0.00794024	0.00630168	0.00444350	1999119.00000000	140142899.00000000	4.00000000	80.92087040	92.48331584	98.05337475	106.47173732	112.84144822	101.32196287	95.71854588	80.19077557	50.16667781	27.27108463	15.60790379	12.32382915	3.76075614
1999119.00000000	140142701.00000000	5.00000000	1.14684913	1.50841084	1.65839560	1.64682372	1.25966083	0.76545577	0.47587802	0.28355279	0.07718209	0.01683411	0.00668723	0.00539057	0.00407031	1999119.00000000	140144077.00000000	5.00000000	84.06418305	97.42867981	104.96955459	114.80536775	119.47124718	104.60898853	99.73160660	81.84521386	46.20009900	20.76830516	9.95323078	7.33749191	1.75227171
1999119.00000000	140143910.00000000	6.00000000	1.11829669	1.47435469	1.63705545	1.62763708	1.24645043	0.75148734	0.46189091	0.27259937	0.07179934	0.01505506	0.00605813	0.00504119	0.00393037	1999119.00000000	140145266.00000000	6.00000000	78.82911470	91.84043388	100.90752368	111.20688404	116.46948331	100.31335200	93.61837459	76.65011120	40.32304521	16.25952750	7.17091474	5.17416100	1.06065600
1999119.00000000	140145100.00000000	7.00000000	1.04654929	1.38969108	1.55585433	1.55231557	1.18782377	0.70367625	0.42512047	0.24565916	0.06045247	0.01186727	0.00484314	0.00400763	0.00350162	1999119.00000000	140146378.00000000	7.00000000	70.15443803	83.32284611	90.09763568	98.67872152	99.99337009	83.97223238	80.50709517	63.39263967	30.46648426	10.23201661	3.74791877	2.70319905	0.53502309
1999119.00000000	140146225.00000000	8.00000000	0.99314521	1.32196623	1.49229057	1.48984358	1.14028990	0.67123030	0.40140060	0.23031742	0.05544154	0.01076431	0.00450900	0.00383643	0.00335484	1999119.00000000	140147514.00000000	8.00000000	78.50766038	93.02961560	102.46880887	112.75403414	116.46075545	96.81106804	90.40133899	70.72447207	31.48000027	9.01310523	2.92806257	2.15817531	0.39874176
1999119.00000000	140147341.00000000	9.00000000	0.96328970	1.29067008	1.46213993	1.46578273	1.12073872	0.65580084	0.39069481	0.22297633	0.05156078	0.00979739	0.00420105	0.00364842	0.00324225	1999119.00000000	140148635.00000000	9.00000000	76.26141923	90.16496878	101.15942785	111.75728719	116.36921531	95.51452692	87.11126168	67.69930355	28.04697378	7.07421446	2.08653232	1.57510436	0.29237618
1999119.00000000	140148466.00000000	10.00000000	0.90641945	1.21912963	1.39703557	1.40272112	1.07413355	0.61922982	0.36280051	0.20328016	0.04485798	0.00844964	0.00370872	0.00319470	0.00299538	1999119.00000000	140149737.00000000	10.00000000	68.22684762	81.05893565	90.58896116	99.86221407	102.57345144	82.63577525	74.79580220	56.72928463	21.50531605	4.54738482	1.14525918	0.93424815	0.20235869
1999119.00000000	140149582.00000000	11.00000000	0.87793688	1.18548691	1.37164886	1.38120499	1.05783779	0.60795168	0.35222111	0.19663499	0.04236415	0.00799736	0.00360110	0.00311858	0.00292985	1999119.00000000	140150893.00000000	11.00000000	65.82643853	78.25538055	87.43156225	95.86933799	98.85422919	78.43910026	70.10468478	52.14213778	18.36194807	3.29513034	0.72507473	0.66278593	0.17013930
1999119.00000000	140150724.00000000	12.00000000	0.84276415	1.14077213	1.32485946	1.33514962	1.02418816	0.58597947	0.33987012	0.18795803	0.03987115	0.00760962	0.00345536	0.00301765	0.00283956	1999119.00000000	140151997.00000000	12.00000000	69.09896227	83.28307853	94.60754905	104.58560081	107.01553713	84.15635082	75.54187816	55.47964855	18.48227201	2.98228805	0.60780154	0.60866363	0.17127576
1999119.00000000	140151835.00000000	13.00000000	0.77052481	1.05161040	1.23549005	1.25051959	0.95735923	0.53639130	0.30409359	0.16596818	0.03371205	0.00661316	0.00307076	0.00264808	0.00257229	1999119.00000000	140153157.00000000	13.00000000	62.26401200	74.75787634	85.86166872	94.88856971	97.09701787	74.76747624	65.14306656	47.04023137	14.05285642	1.87976781	0.31898440	0.39938705	0.14183811
1999119.00000000	140153006.00000000	14.00000000	0.76925478	1.05318861	1.24605005	1.26481363	0.97018782	0.54409657	0.30754067	0.16670974	0.03305154	0.00651945	0.00306503	0.00269517	0.00258365	1999119.00000000	140154327.00000000	14.00000000	63.96039250	77.50577519	89.80433868	99.91166564	102.60594255	77.89813379	67.42845379	48.15516381	13.54106372	1.60264295	0.24935465	0.36555879	0.14529237
1999119.00000000	140154154.00000000	15.00000000	0.71814519	0.98626892	1.17604790	1.19495765	0.91725578	0.50883260	0.28442316	0.15237440	0.02974813	0.00604196	0.00288078	0.00258959	0.00244077	1999119.00000000	140155457.00000000	15.00000000	61.21719179	74.39450353	86.55004264	96.06713400	98.44433182	73.84974402	63.21539341	44.41373715	11.71349410	1.22469370	0.17324885	0.31147970	0.13669649
1999119.00000000	140155308.00000000	16.00000000	0.67921887	0.93879072	1.12849872	1.15185447	0.88330351	0.48546970	0.26875413	0.14322860	0.02734207	0.00565885	0.00272569	0.00248176	0.00231521	1999119.00000000	140156592.00000000	16.00000000	52.25793489	63.64530145	73.92779050	81.82379067	83.34641842	60.96844350	51.26536987	35.23182952	8.44873585	0.75822435	0.09638831	0.23387178	0.11349946
1999119.00000000	140156432.00000000	17.00000000	0.64004629	0.88896472	1.07958003	1.10508515	0.84849588	0.46080520	0.25140904	0.13201286	0.02457989	0.00522333	0.00253532	0.00232441	0.00218720	1999119.00000000	140157739.00000000	17.00000000	57.07010833	69.97404770	82.93494855	92.63291379	94.66831075	68.59737282	57.14764553	38.85920656	8.68793299	0.68815042	0.08017619	0.24583737	0.12532391
1999119.00000000	140157573.00000000	18.00000000	0.62646879	0.87262219	1.06643562	1.09403366	0.84103829	0.45665092	0.24870558	0.13046530	0.02413890	0.00525172	0.00256659	0.00243825	0.00218261	1999119.00000000	140158882.00000000	18.00000000	47.13953770	58.03923025	68.20175297	75.66245945	76.65741101	54.27732312	44.72426911	29.69349514	6.15698567	0.43332546	0.04883616	0.18894764	0.10120812
1999119.00000000	140158721.00000000	19.00000000	0.57313655	0.80347264	0.99207066	1.02127526	0.78467431	0.41827680	0.22376775	0.11530920	0.02086024	0.00466105	0.00228221	0.00215343	0.00198854	1999119.00000000	140200044.00000000	19.00000000	48.51973238	59.76447409	71.61435149	79.80397908	80.87175866	56.79114614	46.05160588	30.16835441	5.79267783	0.36846911	0.03907515	0.19072839	0.10378830
1999119.00000000	140159880.00000000	20.00000000	0.55872426	0.78673631	0.97914825	1.01212068	0.77875087	0.41518058	0.22136313	0.11426205	0.02052914	0.00467312	0.00230518	0.00223817	0.00197466	1999119.00000000	140201210.00000000	20.00000000	47.15852216	58.59650898	70.32555282	78.53599868	79.87440080	55.03600973	44.26771098	28.59042131	5.16245515	0.30718471	0.03190174	0.18283001	0.10265884
1999119.00000000	140201042.00000000	21.00000000	0.51883861	0.73355968	0.92030240	0.95291718	0.73345068	0.38579508	0.20339028	0.10347933	0.01847395	0.00433083	0.00213540	0.00210215	0.00184972	1999119.00000000	140202363.00000000	21.00000000	40.50909580	50.28381203	60.44007531	67.13870354	67.68811814	45.77037858	36.15080329	22.84253541	3.79827191	0.21030254	0.02265709	0.15141146	0.08546272
1999119.00000000	140202178.00000000	22.00000000	0.49014246	0.69698494	0.88520303	0.92073349	0.70910011	0.36975913	0.19222518	0.09707618	0.01705404	0.00404256	0.00199721	0.00196499	0.00174636	1999119.00000000	140203491.00000000	22.00000000	43.01100390	53.54479523	65.64235875	73.34929040	74.39615635	49.81633993	38.75377777	24.20037818	3.73441706	0.18942962	0.02114261	0.16262174	0.09232941
