PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
#Depth	399.8	412.2	442	470.1	490.4	509.8	531.7	554.5	590.2	619	665.6	683.3	700.4
3	0.06881594	0.06276323	0.05808024	0.05530586	0.05735127	0.07060538	0.08200143	0.09406964	0.13621177	0.18874499	0.19339006	0.18689564	0.11630093
4	0.05235396	0.04755804	0.04144573	0.03919888	0.04012155	0.05077323	0.06141551	0.07200577	0.11156674	0.162382	0.162848	0.14785688	0.08904831
5	0.05185244	0.04683318	0.04000455	0.03761402	0.0382867	0.04979935	0.06160645	0.07400347	0.11872797	0.17221894	0.16893779	0.15636618	0.0888899
6	0.04493317	0.04068325	0.03291455	0.03094479	0.03087995	0.04045689	0.05184882	0.0634242	0.10690274	0.15565044	0.14543726	0.12890003	0.07125738
7	0.04675239	0.04208905	0.03444861	0.03213762	0.03227262	0.04221706	0.05348385	0.06492101	0.10653584	0.14180611	0.12250555	0.10538138	0.06132337
8	0.05030191	0.04540864	0.0379217	0.0354789	0.03557059	0.0457617	0.05673971	0.06837156	0.10998434	0.13468475	0.11236598	0.10061996	0.06202827
9	0.04427326	0.03988388	0.03179822	0.029384	0.02915599	0.03730818	0.04773337	0.05700651	0.09229373	0.10314573	0.078804	0.06846909	0.04698824
10	0.0421159	0.03798377	0.03018992	0.02786886	0.02725256	0.03474169	0.04364604	0.0532196	0.08558114	0.08966499	0.0686399	0.06370427	0.04348244
11	0.05193797	0.04761095	0.03899129	0.03670311	0.03627433	0.04571782	0.05664719	0.06689056	0.09676611	0.08908182	0.06975828	0.06979317	0.05163691
12	0.04586627	0.04124606	0.03332938	0.03063756	0.03033635	0.03839309	0.04774152	0.05662149	0.08393144	0.07087187	0.05405734	0.05036087	0.04258925
13	0.04930708	0.04478426	0.03690358	0.03438097	0.03393577	0.04301106	0.05275482	0.06299815	0.08946572	0.07153896	0.05662263	0.04847782	0.04597233
14	0.05018876	0.0453885	0.03701445	0.03407887	0.03387657	0.04290806	0.05364056	0.06290088	0.08795413	0.06827191	0.0538275	0.04133583	0.0460778
15	0.04955415	0.04510259	0.03688816	0.03408251	0.03352477	0.04177869	0.0515319	0.06096057	0.08214946	0.0613423	0.05005435	0.03432337	0.04340477
16	0.05257778	0.04800213	0.03969009	0.0368295	0.03636261	0.04495587	0.0548057	0.06337352	0.08193243	0.05780606	0.04826942	0.03083947	0.04470546
17	0.053194	0.04830617	0.03968073	0.0365619	0.03612669	0.0453149	0.0557236	0.06507815	0.08344442	0.05936392	0.05259692	0.03865648	0.04688045
18	0.05009912	0.04545133	0.03684539	0.03375211	0.03301519	0.04096386	0.05044575	0.0587177	0.07372465	0.04966833	0.04402947	0.02830236	0.041343
19	0.05343382	0.04879068	0.04046443	0.0374123	0.03683558	0.04505438	0.05403744	0.06196676	0.07331138	0.04914818	0.04507534	0.02866252	0.04353008
20	0.05903369	0.0540512	0.04476123	0.04141916	0.04087893	0.0502972	0.06106866	0.06994678	0.08163592	0.05968355	0.05681446	0.0455681	0.05183365
21	0.05487403	0.05000892	0.040818	0.03744038	0.03673397	0.04508017	0.05484695	0.06254456	0.07108745	0.0497662	0.04707224	0.0316153	0.04510121
22	0.0570138	0.05215074	0.04286841	0.03954882	0.03873668	0.0473682	0.05701204	0.06496888	0.07115273	0.04965241	0.04780571	0.03060147	0.04566528
23	0.05646912	0.05159709	0.04206649	0.03855996	0.03763661	0.04548174	0.05469595	0.0614497	0.06567562	0.04658736	0.04493989	0.02783234	0.04416321
24	0.0598357	0.05492662	0.04569198	0.04219787	0.04138271	0.04980415	0.05877034	0.06562914	0.06681872	0.04692714	0.04613597	0.02909982	0.04613631
25	0.05732818	0.05230051	0.04267363	0.03893943	0.03808328	0.04592839	0.05491812	0.06143844	0.06195776	0.0447458	0.04539195	0.03254111	0.04479534
26	0.05913847	0.05395006	0.04408773	0.04030291	0.03940674	0.04804216	0.057724	0.06519719	0.0648019	0.04854783	0.0502438	0.04141166	0.04800813
27	0.06118815	0.05591344	0.04610733	0.04220275	0.04124836	0.04990335	0.05952094	0.066316	0.06434716	0.0492188	0.0509837	0.04320844	0.04990128
28	0.06385429	0.05879713	0.04901861	0.04527544	0.04432742	0.05283425	0.06240711	0.06882596	0.06512485	0.05223967	0.05380504	0.04579882	0.05238649
29	0.06149532	0.05634713	0.04635228	0.04238391	0.04119324	0.04913983	0.05831405	0.06407158	0.05956518	0.04854575	0.04946683	0.03886628	0.04865447
30	0.0562878	0.05123194	0.04159569	0.03753887	0.0361008	0.04274529	0.0503415	0.05508737	0.04895049	0.03922598	0.03999399	0.02487561	0.04113961
31	0.06019679	0.05535545	0.04588141	0.04197788	0.04059575	0.04774652	0.05555168	0.0605742	0.05265012	0.04372182	0.04451405	0.02921575	0.04508521
32	0.06318727	0.05825163	0.04840647	0.044235	0.04286483	0.05039674	0.05897417	0.06377015	0.05588438	0.04897704	0.0497712	0.03720963	0.04932518
33	0.06331305	0.05875015	0.04919429	0.04503858	0.04360573	0.05086688	0.05882507	0.06319601	0.0537223	0.04734004	0.04826239	0.03434723	0.04700638
34	0.06256947	0.05891116	0.04881934	0.04431449	0.04277207	0.05010939	0.05863605	0.06273864	0.05312787	0.04904815	0.04974093	0.036363	0.04021035
35	0.06284415	0.0577707	0.04766661	0.04297252	0.04120147	0.04815156	0.05604085	0.06000874	0.04975372	0.04646928	0.04690153	0.03269448	0.04207942
