PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : I1B-123
OPERATOR : Unknown
LATITUDE : 38 30.21 N
LONGITUDE : 17 59.95 E
PRESSURE-TARE : 0.000000
CAST : B
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Wed May 05 11:18:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : 11:15
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:44:07
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
 : 
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
1999125.00000000	111823174.00000000	4.00000000	1.18691142	1.55302975	1.76629379	1.90916008	1.57977951	1.06275441	0.68874643	0.42738330	0.12416299	0.02952392	0.01195374	0.00994567	0.00555576	1999125.00000000	111824507.00000000	4.00000000	98.97107696	115.81922451	121.28788928	131.84625929	137.06545079	122.02386083	121.21554203	99.14996051	62.43861577	33.54870311	18.60520185	14.22895343	4.33862905
1999125.00000000	111824345.00000000	5.00000000	1.18338385	1.55689142	1.77779913	1.92868266	1.59977682	1.07276757	0.69426219	0.42606902	0.11658945	0.02453110	0.00954138	0.00829477	0.00508537	1999125.00000000	111825702.00000000	5.00000000	89.35181491	103.23419000	109.65579058	119.06988076	126.79627670	112.76276097	106.73437159	87.29827849	51.84469018	22.82654851	11.18339680	8.65927749	2.19234556
1999125.00000000	111825549.00000000	6.00000000	1.11809686	1.47760076	1.70996373	1.86221335	1.55055566	1.02925764	0.65765558	0.39648387	0.10225523	0.01990163	0.00780103	0.00710839	0.00465904	1999125.00000000	111826915.00000000	6.00000000	81.21919823	96.75879462	103.11508712	113.60298920	116.77641760	99.08176761	93.41727770	75.26758622	39.70553589	15.97199062	6.94030339	5.01973139	1.04296040
1999125.00000000	111826748.00000000	7.00000000	1.03661536	1.37691512	1.60612991	1.75857341	1.46570277	0.96575232	0.61081941	0.36549578	0.09055681	0.01674174	0.00669589	0.00632115	0.00426099	1999125.00000000	111828060.00000000	7.00000000	87.91389106	102.65728244	113.17387025	123.93584051	132.60871651	113.61327546	106.47141034	85.20697169	43.07942727	14.72314530	5.71594331	4.16376315	0.78710057
1999125.00000000	111827907.00000000	8.00000000	0.97339376	1.30123976	1.53406895	1.69043669	1.41207084	0.92349738	0.57974647	0.34233702	0.08014256	0.01403871	0.00577724	0.00569373	0.00398295	1999125.00000000	111829133.00000000	8.00000000	78.67983414	93.70110089	102.50483539	113.16475804	119.51896168	99.82213165	92.52793121	72.64856310	33.54101510	9.83811245	3.31784593	2.46563953	0.40423061
1999125.00000000	111829014.00000000	9.00000000	0.91232082	1.22563806	1.46323617	1.62297208	1.36194683	0.88544942	0.55017834	0.32075185	0.07179707	0.01208455	0.00514864	0.00531213	0.00377189	1999125.00000000	111830195.00000000	9.00000000	64.19118647	76.64904732	82.76855841	90.54850901	94.10108685	76.84066681	70.53590698	53.85212880	22.50188510	5.55120524	1.59503245	1.23388057	0.23427490
1999125.00000000	111830059.00000000	10.00000000	0.83250555	1.12481712	1.36207436	1.52081177	1.27955471	0.82158957	0.50184482	0.28725486	0.06066711	0.00997078	0.00445169	0.00475582	0.00345535	1999125.00000000	111831297.00000000	10.00000000	70.24015842	84.30278964	93.79376808	103.87014791	108.57794748	88.77111360	80.86445740	61.16154360	23.91739979	5.01127825	1.27205679	1.04859813	0.21786321
1999125.00000000	111831138.00000000	11.00000000	0.80963698	1.10043441	1.34426868	1.50987351	1.27354000	0.81774065	0.49923607	0.28506689	0.05881304	0.00964042	0.00445537	0.00497051	0.00347352	1999125.00000000	111832432.00000000	11.00000000	68.98393218	83.60120297	94.15632343	105.05463941	109.72226216	88.17178879	79.46696049	59.32132471	21.33743618	3.83566198	0.85224144	0.77127769	0.18655044
1999125.00000000	111832266.00000000	12.00000000	0.74746364	1.02152116	1.26454192	1.42907059	1.20936486	0.76948152	0.46380043	0.26058465	0.05078933	0.00823053	0.00395000	0.00448245	0.00319857	1999125.00000000	111833539.00000000	12.00000000	61.02594575	74.04305126	83.34175457	92.71329161	96.98031468	76.64225396	68.17891978	50.00159402	16.70736501	2.59476523	0.53309055	0.54880990	0.15289842
1999125.00000000	111833374.00000000	13.00000000	0.69229774	0.95121879	1.19079491	1.35569174	1.15139580	0.72892478	0.43565737	0.24257751	0.04594320	0.00756120	0.00373376	0.00434801	0.00304285	1999125.00000000	111834613.00000000	13.00000000	60.97156531	74.29760857	85.21047060	95.39501500	99.44324528	77.97082396	68.92306185	49.89918067	15.55151574	2.12605019	0.38473932	0.45600868	0.14621193
1999125.00000000	111834450.00000000	14.00000000	0.65245384	0.90164999	1.14696303	1.31544750	1.12293797	0.70967865	0.42183678	0.23295031	0.04258637	0.00705039	0.00357049	0.00424966	0.00292827	1999125.00000000	111835643.00000000	14.00000000	54.90705972	67.26862904	77.10152998	86.27177877	89.91934340	69.14935796	60.42219549	42.96427077	12.39840387	1.46964447	0.23352394	0.33730306	0.12852462
1999125.00000000	111835548.00000000	15.00000000	0.59408202	0.82671606	1.06454623	1.23232161	1.05526722	0.66005360	0.38724732	0.21050719	0.03692754	0.00629441	0.00328145	0.00397958	0.00272380	1999125.00000000	111836784.00000000	15.00000000	55.68903497	68.63054435	80.37970797	90.76108601	95.21883210	72.64517830	62.97228814	44.28346920	11.89115212	1.20450970	0.17052490	0.31026627	0.13172162
1999125.00000000	111836611.00000000	16.00000000	0.56356849	0.78839425	1.02981751	1.19997669	1.03261505	0.64609351	0.37790635	0.20432839	0.03491065	0.00603959	0.00321367	0.00400354	0.00265562	1999125.00000000	111837884.00000000	16.00000000	50.48319377	62.29633984	73.19213083	82.44449616	85.94860664	64.32824773	54.86566375	37.73551293	9.24271587	0.80670641	0.10232644	0.24823094	0.11596048
1999125.00000000	111837715.00000000	17.00000000	0.50677878	0.71347119	0.94447894	1.11061550	0.95891443	0.59388260	0.34207724	0.18212166	0.02978832	0.00532772	0.00291158	0.00368471	0.00242676	1999125.00000000	111838963.00000000	17.00000000	47.69288929	59.44379829	70.33190440	79.72187117	83.36169656	61.27187018	51.87821736	35.21384296	8.06028542	0.64787924	0.07547555	0.22537341	0.11166104
1999125.00000000	111838812.00000000	18.00000000	0.48403663	0.68629468	0.92154162	1.09301134	0.94816345	0.58881980	0.34006457	0.18092238	0.02918810	0.00530542	0.00295086	0.00387585	0.00242181	1999125.00000000	111840037.00000000	18.00000000	45.96811959	57.29357366	69.14566218	78.64106634	81.97081697	59.83676094	50.02982231	33.44831241	7.10328355	0.51736820	0.05538159	0.20904210	0.10652733
1999125.00000000	111839891.00000000	19.00000000	0.44225635	0.63103286	0.86316398	1.03344381	0.90155436	0.55650125	0.31778604	0.16660952	0.02575814	0.00476859	0.00270403	0.00360136	0.00224568	1999125.00000000	111841116.00000000	19.00000000	45.57238120	57.51513942	70.26802835	80.79684495	84.91990311	61.01862895	50.71706820	33.59389295	6.69776418	0.42146040	0.04555657	0.20786131	0.11014209
1999125.00000000	111840970.00000000	20.00000000	0.41648531	0.59704842	0.82430223	0.99458049	0.87131726	0.53867972	0.30753549	0.16136130	0.02490769	0.00471517	0.00273942	0.00383215	0.00222265	1999125.00000000	111842242.00000000	20.00000000	37.45049094	47.11803817	57.31778633	65.31459473	68.14641866	47.88134725	38.94119673	25.16322429	4.61114650	0.26816052	0.02969441	0.16221687	0.08748986
1999125.00000000	111842081.00000000	21.00000000	0.37309954	0.53811859	0.75554496	0.92007353	0.81052920	0.49761650	0.28096696	0.14537607	0.02171794	0.00417078	0.00248559	0.00360958	0.00203999	1999125.00000000	111843324.00000000	21.00000000	37.71496230	47.66918251	59.41338954	68.29296156	71.30566553	49.74934362	40.11838831	25.49977770	4.29781696	0.22040460	0.02518042	0.16416831	0.08930403
1999125.00000000	111843164.00000000	22.00000000	0.35252498	0.51203372	0.72975935	0.89734672	0.79334414	0.48764064	0.27495231	0.14208162	0.02085415	0.00407184	0.00251973	0.00387477	0.00203324	1999125.00000000	111844448.00000000	22.00000000	37.31260559	47.86064587	60.67399500	70.68845474	74.25084887	51.05552066	41.05516069	25.83848635	4.07841397	0.19558477	0.02303367	0.16727307	0.09255754
1999125.00000000	111844287.00000000	23.00000000	0.33382065	0.48760197	0.70298962	0.87183090	0.77527301	0.47780828	0.27011728	0.13947836	0.02042014	0.00407199	0.00260096	0.00425835	0.00206037	1999125.00000000	111845524.00000000	23.00000000	31.35454227	40.11010610	50.89902971	58.99036165	61.65539161	41.69499515	32.94640939	20.33026306	3.01157492	0.14128415	0.01819735	0.13801610	0.07621807
1999125.00000000	111845372.00000000	24.00000000	0.29330292	0.43093028	0.63175128	0.79128533	0.70710294	0.43194329	0.24121159	0.12270072	0.01750218	0.00356578	0.00232441	0.00389543	0.00185186	1999125.00000000	111846616.00000000	24.00000000	30.78612747	39.75170383	51.69141782	60.71044319	63.79924987	42.91018379	33.82906831	20.72591957	2.91463048	0.13023991	0.01785049	0.14119883	0.07785402
1999125.00000000	111846463.00000000	25.00000000	0.26841070	0.39652266	0.58921336	0.74485029	0.66814744	0.40759034	0.22638552	0.11485141	0.01628817	0.00339516	0.00227737	0.00397565	0.00178375	1999125.00000000	111847717.00000000	25.00000000	27.89264141	36.22109857	47.67800053	56.25287814	59.16784590	39.08979878	30.38041931	18.19963434	2.32977871	0.10205249	0.01584094	0.12978325	0.07163175
1999125.00000000	111847570.00000000	26.00000000	0.24877026	0.36977991	0.55788351	0.71215091	0.64216775	0.39124195	0.21651656	0.10921903	0.01529209	0.00326597	0.00225311	0.00411336	0.00174231	1999125.00000000	111848814.00000000	26.00000000	26.05228912	34.08233173	45.77900897	54.55090702	57.60830184	37.58988114	28.91794918	17.08221167	2.03028867	0.08759695	0.01502933	0.12501334	0.06883616
1999125.00000000	111848674.00000000	27.00000000	0.22554863	0.33705733	0.51529351	0.66406405	0.60156982	0.36481254	0.20031087	0.10014936	0.01385723	0.00304592	0.00217072	0.00413154	0.00165963	1999125.00000000	111849948.00000000	27.00000000	23.60435348	31.02552299	42.22576016	50.60430048	53.50798478	34.50182500	26.30409681	15.31481753	1.71414306	0.07507703	0.01394777	0.11559613	0.06344324
1999125.00000000	111849762.00000000	28.00000000	0.20356138	0.30580223	0.47376911	0.61649694	0.56066127	0.33905255	0.18486279	0.09188147	0.01262830	0.00283013	0.00208524	0.00412263	0.00158868	1999125.00000000	111851046.00000000	28.00000000	21.77949646	28.79451633	39.77831929	48.02987653	50.94285635	32.54619573	24.64517823	14.19001229	1.51091725	0.06732726	0.01334971	0.10969601	0.05999543
1999125.00000000	111850815.00000000	29.00000000	0.18634095	0.28296075	0.44421282	0.58355522	0.53319021	0.32258381	0.17543682	0.08698627	0.01191912	0.00270613	0.00206370	0.00424114	0.00154108	1999125.00000000	111852183.00000000	29.00000000	19.61911689	26.07171754	36.59123176	44.49853928	47.35725500	29.89741393	22.39561020	12.70670327	1.26832636	0.05843446	0.01253856	0.10163988	0.05533542
1999125.00000000	111852011.00000000	30.00000000	0.16788918	0.25640141	0.40748361	0.54052844	0.49607575	0.29912057	0.16171897	0.07969517	0.01087805	0.00251953	0.00199436	0.00424226	0.00147276	1999125.00000000	111853317.00000000	30.00000000	17.71299387	23.67596856	33.80882440	41.43577098	44.17206791	27.48023562	20.33016642	11.31536055	1.04818815	0.05072842	0.01187160	0.09444377	0.05106826
