PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : I1B-123
OPERATOR : Unknown
LATITUDE : 38 30.21 N
LONGITUDE : 17 59.95 E
PRESSURE-TARE : 0.000000
CAST : B
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Wed May 05 11:18:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : 11:15
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:44:09
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
4.00000000	0.02986324	0.02489402	0.01620564	0.01244882	0.00933597	0.01601312	0.02309591	0.03752296	0.09706157	0.19719953	0.21339417	0.16793083	0.08801277
5.00000000	0.04629306	0.04133579	0.03240718	0.02815529	0.02561021	0.03285398	0.04143838	0.05412456	0.10780398	0.19110273	0.19400324	0.15140585	0.08835559
6.00000000	0.05290592	0.04766260	0.03834682	0.03356873	0.03119853	0.03859924	0.04726130	0.05971178	0.11282574	0.18688020	0.18083795	0.13872675	0.08424888
7.00000000	0.06588778	0.06055614	0.04979997	0.04419351	0.04154540	0.04922287	0.05913049	0.07147068	0.12132951	0.17650119	0.15341408	0.11131732	0.07543673
8.00000000	0.07176113	0.06619824	0.05481037	0.04852868	0.04576221	0.05375163	0.06453397	0.07751180	0.12762744	0.17082635	0.13847044	0.09777192	0.07196993
9.00000000	0.06506093	0.05939781	0.04748696	0.04106967	0.03796140	0.04496513	0.05477445	0.06724877	0.11416332	0.14460399	0.10754107	0.06607524	0.05507659
10.00000000	0.06476118	0.05918058	0.04712278	0.04081584	0.03770387	0.04444521	0.05434365	0.06636798	0.11117215	0.12938976	0.09050442	0.05448636	0.05210458
11.00000000	0.06597054	0.06032731	0.04863578	0.04221145	0.03922973	0.04545736	0.05456094	0.06561351	0.10705911	0.11296040	0.07622021	0.04597484	0.05067834
12.00000000	0.06439688	0.05880149	0.04650115	0.03978487	0.03619529	0.04078321	0.04835679	0.05804919	0.09546927	0.09360872	0.06178580	0.03588637	0.04633984
13.00000000	0.07550824	0.06968197	0.05641953	0.04890994	0.04501597	0.05093530	0.06028669	0.07185107	0.11069639	0.10073750	0.07126626	0.04980214	0.05745740
14.00000000	0.07177923	0.06583825	0.05227291	0.04448563	0.04031826	0.04487949	0.05274084	0.06282000	0.09682371	0.08023986	0.05417366	0.03145202	0.04828202
15.00000000	0.07703346	0.07094322	0.05712219	0.04906697	0.04497107	0.05036458	0.05936111	0.07043894	0.10653211	0.08549579	0.06027312	0.03907118	0.05502085
16.00000000	0.07561024	0.06931579	0.05573204	0.04744662	0.04341011	0.04790235	0.05549929	0.06503590	0.09703877	0.07354453	0.05007989	0.02611307	0.04952658
17.00000000	0.07423837	0.06788979	0.05304874	0.04453718	0.04001808	0.04341273	0.05008814	0.05893943	0.08994445	0.06848280	0.04723983	0.02321440	0.04782047
18.00000000	0.07410603	0.06787843	0.05352280	0.04474904	0.04013687	0.04286584	0.04857701	0.05611871	0.08205958	0.06059766	0.03932889	0.01103873	0.04335071
19.00000000	0.07627681	0.07034351	0.05578989	0.04708030	0.04207497	0.04427029	0.04941440	0.05651240	0.07905402	0.06075890	0.03907196	0.00525430	0.04330435
20.00000000	0.08041227	0.07451122	0.05998316	0.05106975	0.04629726	0.04889226	0.05482169	0.06196617	0.08430281	0.06632148	0.04001254	-0.00017218	0.04458319
21.00000000	0.07293014	0.06693247	0.05323475	0.04429918	0.03955593	0.04044621	0.04370370	0.04827311	0.06420817	0.04625242	0.01613163	-0.03461990	0.02613097
22.00000000	0.08125319	0.07506833	0.06041801	0.05111829	0.04621319	0.04822739	0.05252128	0.05892101	0.07673195	0.05827741	0.02831828	-0.01980460	0.03550713
23.00000000	0.08425695	0.07831357	0.06415209	0.05483244	0.05014379	0.05204186	0.05629185	0.06180231	0.07506268	0.05442141	0.02556620	-0.01985101	0.03618907
