PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Mon Apr 26 14:20:55 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:49:59
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
3.00000000	-0.00570454	-0.00744406	-0.00696640	-0.00994899	-0.01122347	-0.01098868	-0.00756826	-0.00393475	0.02781170	0.08629735	0.09717744	0.09283349	0.03432701
4.00000000	0.02339049	0.02102156	0.01882699	0.01635590	0.01575489	0.02125252	0.02948758	0.03829589	0.07661307	0.13600824	0.14009285	0.13804177	0.06462424
5.00000000	0.03204060	0.02960824	0.02631474	0.02395690	0.02360954	0.02906758	0.03591725	0.04336993	0.07716230	0.12811587	0.12976359	0.12343135	0.06364053
6.00000000	0.05159784	0.04897039	0.04366443	0.04185867	0.04170107	0.04995365	0.05843743	0.06882607	0.10362900	0.14383782	0.13800448	0.12659332	0.07310624
7.00000000	0.05281822	0.05025014	0.04450658	0.04224815	0.04210778	0.04914093	0.05811854	0.06673849	0.09917842	0.12823035	0.11282358	0.09857435	0.06314337
8.00000000	0.04430187	0.04170233	0.03592958	0.03382277	0.03317956	0.04002507	0.04779257	0.05708628	0.08809501	0.10407332	0.08543084	0.06423859	0.04521436
9.00000000	0.05236711	0.04800163	0.04089632	0.03843151	0.03874297	0.05149071	0.06550883	0.08020009	0.12478908	0.13548389	0.10974009	0.09775329	0.06208418
10.00000000	0.04207364	0.03796139	0.03080758	0.02813678	0.02808195	0.03863271	0.05153508	0.06385786	0.10306965	0.10451599	0.07967154	0.06431966	0.04610592
11.00000000	0.03997250	0.03632442	0.02839581	0.02614371	0.02547854	0.03523881	0.04735410	0.05998544	0.09787640	0.09332429	0.07253843	0.06276957	0.04525922
12.00000000	0.04213380	0.03883263	0.03209246	0.02937470	0.02863636	0.03592324	0.04490310	0.05343344	0.08038072	0.07092281	0.05504760	0.04410068	0.04197299
