PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Fri Apr 23 17:27:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:51:32
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
 : 
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
NaN	NaN	3.00000000	0.39312695	0.54100690	0.64167670	0.67243244	0.53432768	0.33521717	0.20896434	0.12615677	0.03675992	0.00927844	0.00401386	0.00398099	0.00201861	1999113.00000000	172724138.00000000	3.00000000	27.34274198	33.56735667	36.90778257	40.86912845	42.62649733	38.06604841	36.40554906	30.02161803	18.89576656	10.82930678	6.53878346	5.14502367	1.65475880
1999113.00000000	172723998.00000000	4.00000000	0.38306691	0.52864888	0.62936379	0.66196849	0.52514753	0.32645954	0.20187970	0.12027015	0.03291252	0.00767763	0.00324748	0.00330150	0.00180681	1999113.00000000	172725037.00000000	4.00000000	30.00213611	37.03815320	41.88247151	46.88529203	48.60019823	43.16041571	40.63282434	32.71132591	18.11992232	8.07797222	3.97839184	2.90972796	0.67351399
1999113.00000000	172724912.00000000	5.00000000	0.37157965	0.51407700	0.61488256	0.64734145	0.51379300	0.31727449	0.19410651	0.11418667	0.02940259	0.00625389	0.00267498	0.00286327	0.00166113	1999113.00000000	172725991.00000000	5.00000000	32.58525162	41.01588813	47.38846398	54.04666414	57.08506971	49.79960179	46.84074140	37.31350779	18.91082790	6.83525507	2.81351148	2.05560488	0.41094390
1999113.00000000	172725878.00000000	6.00000000	0.35134753	0.48739123	0.58553666	0.61784589	0.48883815	0.29858263	0.18180603	0.10601065	0.02654197	0.00547169	0.00238541	0.00268946	0.00156786	1999113.00000000	172726972.00000000	6.00000000	27.28980683	34.38198377	39.41890268	44.63118660	46.76756789	39.66399690	36.51578919	28.43218040	13.29580155	4.22288497	1.56131893	1.14321089	0.22069045
1999113.00000000	172726831.00000000	7.00000000	0.31981702	0.44504634	0.54018196	0.57040520	0.45096419	0.26917145	0.15907603	0.09048412	0.02126014	0.00428908	0.00192689	0.00218978	0.00136453	1999113.00000000	172727897.00000000	7.00000000	24.70119944	31.18461854	35.98618241	40.67876239	42.74806082	35.57075305	32.19290551	24.64024625	10.60627175	2.86107367	0.92421758	0.72024858	0.13224368
1999113.00000000	172727768.00000000	8.00000000	0.30756628	0.43002679	0.52838167	0.56084705	0.44551068	0.26445438	0.15466461	0.08699905	0.01946010	0.00384712	0.00178124	0.00208028	0.00131000	1999113.00000000	172728801.00000000	8.00000000	24.57478789	31.00849518	36.42349857	41.00617676	42.58629125	35.25957770	31.46609721	23.41873514	9.00684094	1.94298752	0.44842101	0.43926662	0.08994843
1999113.00000000	172728656.00000000	9.00000000	0.29278241	0.41074656	0.50778099	0.54072719	0.42883318	0.25171760	0.14571244	0.08086522	0.01727294	0.00340582	0.00164128	0.00199006	0.00124501	1999113.00000000	172729718.00000000	9.00000000	25.19162367	32.20367519	37.93038339	42.99343752	45.15926050	36.42465979	32.06456534	23.45153238	8.05711363	1.37406048	0.29436957	0.28816693	0.07815223
1999113.00000000	172729597.00000000	10.00000000	0.27197677	0.38191472	0.47373673	0.50431516	0.39874891	0.23068209	0.13163645	0.07217903	0.01510129	0.00304895	0.00151418	0.00191134	0.00116634	1999113.00000000	172730684.00000000	10.00000000	24.41165717	31.26476921	37.23897027	42.34894555	44.30535451	35.34884186	30.81079032	22.20252448	7.09994626	1.05469104	0.20962909	0.22489528	0.06993529
1999113.00000000	172730553.00000000	11.00000000	0.25569215	0.36023349	0.45116548	0.48147801	0.38189925	0.21886250	0.12329360	0.06703187	0.01359476	0.00275729	0.00139728	0.00179375	0.00108696	1999113.00000000	172731623.00000000	11.00000000	21.22707698	27.17393393	32.28358094	36.55922914	38.22084057	29.78662863	25.44499884	17.99957864	5.31527784	0.69476799	0.12555287	0.15992790	0.05773067
1999113.00000000	172731475.00000000	12.00000000	0.24202655	0.34279786	0.43373212	0.46518727	0.36917413	0.20916954	0.11628984	0.06224335	0.01213614	0.00251103	0.00128824	0.00166335	0.00102168	1999113.00000000	172732530.00000000	12.00000000	19.52256842	24.92378877	29.71529290	33.45223972	34.62085514	26.45066432	24.02675918	15.18150927	4.02059452	0.47455311	0.07070767	0.11910731	0.04980217
1999113.00000000	172732405.00000000	13.00000000	0.22985910	0.32679349	0.41704402	0.44885968	0.35658664	0.20021290	0.10997934	0.05823019	0.01107298	0.00236421	0.00123752	0.00163548	0.00098300	1999113.00000000	172733466.00000000	13.00000000	20.05892598	25.84065661	31.34024882	35.76075112	37.22489011	27.96572434	109.78238699	15.65591866	3.75505556	0.34441701	0.04749922	0.11063585	0.05201660
1999113.00000000	172733347.00000000	14.00000000	0.21465443	0.30615137	0.39379629	0.42480817	0.33692877	0.18648337	0.10103172	0.05272752	0.00982879	0.00217474	0.00115262	0.00155412	0.00092435	1999113.00000000	172734430.00000000	14.00000000	17.40670291	22.34923430	26.80787880	30.16105805	31.05817663	22.77471029	18.62060595	12.21315944	2.70733743	0.22244957	0.02853825	0.08542601	0.04278857
1999113.00000000	172734301.00000000	15.00000000	0.19828571	0.28367966	0.36748208	0.39680609	0.31459258	0.17127482	0.09095154	0.04674743	0.00849940	0.00192609	0.00102591	0.00138274	0.00083826	1999113.00000000	172735378.00000000	15.00000000	17.18227500	22.18112481	27.13536128	30.81280330	31.79886164	23.09469888	20.28158722	12.10044145	2.47857359	0.17739938	0.02154803	0.08216266	0.04280219
1999113.00000000	172735253.00000000	16.00000000	0.18964693	0.27224319	0.35548568	0.38516687	0.30640703	0.16630942	0.08774784	0.04496248	0.00813344	0.00188985	0.00101860	0.00141230	0.00082366	1999113.00000000	172736314.00000000	16.00000000	16.06225558	20.81028671	25.59736913	29.10080868	29.99311409	21.29028679	73.02089876	10.72282252	2.00329259	0.13035954	0.01561976	0.07411151	0.03982284
1999113.00000000	172736164.00000000	17.00000000	0.17861139	0.25749227	0.33885618	0.36850078	0.29271203	0.15679946	0.08176460	0.04131071	0.00733689	0.00175807	0.00094817	0.00132299	0.00077360	1999113.00000000	172737257.00000000	17.00000000	15.18663323	19.73261270	24.49750347	27.90172007	28.67809703	19.99544883	19.99077735	9.72280983	1.66717175	0.09867888	0.01198821	0.06842162	0.03742194
1999113.00000000	172737122.00000000	18.00000000	0.16619857	0.24031419	0.31860629	0.34700797	0.27560586	0.14557227	0.07454812	0.03716884	0.00654407	0.00161123	0.00086943	0.00122022	0.00071651	1999113.00000000	172738263.00000000	18.00000000	13.95302029	18.15154791	22.52670764	25.56608777	26.14851216	17.82138813	46.84057554	8.33572363	1.32004360	0.07429753	0.00937123	0.06087414	0.03374841
1999113.00000000	172738084.00000000	19.00000000	0.15605335	0.22659692	0.30316566	0.33128836	0.26348101	0.13780419	0.06972416	0.03444030	0.00601963	0.00151492	0.00081497	0.00114583	0.00067479	1999113.00000000	172739171.00000000	19.00000000	13.23006613	17.23740423	21.58714102	24.51180364	24.99629944	16.78288409	282.46838166	7.59669775	1.11204113	0.05910993	0.00787437	0.05695606	0.03175089
1999113.00000000	172739038.00000000	20.00000000	0.14708479	0.21446041	0.28928493	0.31727327	0.25258639	0.13092215	0.06554749	0.03210419	0.00558857	0.00143545	0.00077181	0.00109111	0.00064012	1999113.00000000	172740113.00000000	20.00000000	12.71651224	16.67000536	21.10994316	24.07891550	24.55668632	16.19728515	245.23999427	7.10935811	0.95638673	0.04917769	0.00699918	0.05496510	0.03080024
1999113.00000000	172739974.00000000	21.00000000	0.13863011	0.20289835	0.27613656	0.30391425	0.24232854	0.12461629	0.06174454	0.03000000	0.00521389	0.00136307	0.00073230	0.00104466	0.00060929	1999113.00000000	172741122.00000000	21.00000000	11.88125840	15.59604281	19.82580015	22.58275168	22.92218523	14.80411796	29.45285310	6.24987785	0.78054788	0.04014914	0.00612657	0.05050675	0.02840737
1999113.00000000	172740968.00000000	22.00000000	0.12953324	0.19018161	0.26047623	0.28745846	0.22902221	0.11641720	0.05705056	0.02747992	0.00478207	0.00127565	0.00068558	0.00099062	0.00057099	1999113.00000000	172742130.00000000	22.00000000	11.25097737	14.79655322	18.94608433	21.60305414	21.85663075	13.87321399	9.97715521	5.66705795	0.65750523	0.03440837	0.00558460	0.04748022	0.02673413
1999113.00000000	172741981.00000000	23.00000000	0.12028827	0.17709599	0.24428111	0.27013037	0.21531380	0.10806018	0.05210933	0.02483839	0.00433537	0.00117329	0.00063123	0.00091540	0.00053128	1999113.00000000	172743084.00000000	23.00000000	10.70998559	14.15753781	18.37256452	21.07396939	21.34681088	13.33289345	9.22083987	5.27831761	0.56617886	0.03037839	0.00520855	0.04570360	0.02574997
1999113.00000000	172742956.00000000	24.00000000	0.11389679	0.16859659	0.23521454	0.26148795	0.20927391	0.10462715	0.05011722	0.02380496	0.00418338	0.00114396	0.00061624	0.00090841	0.00051367	1999113.00000000	172744050.00000000	24.00000000	10.01669730	13.27571619	17.32524414	19.87650826	20.10592871	12.29815195	8.57499691	4.68565082	0.46536781	0.02644816	0.00479009	0.04257047	0.02405714
1999113.00000000	172743915.00000000	25.00000000	0.10671663	0.15874274	0.22366067	0.24999610	0.20018205	0.09923632	0.04718229	0.02225425	0.00392950	0.00109324	0.00058876	0.00088002	0.00048966	1999113.00000000	172744953.00000000	25.00000000	9.45908155	12.55515371	16.46849626	18.87503197	19.00312384	11.42696116	7.58852258	4.21020114	0.39120007	0.02363898	0.00445867	0.03985766	0.02246365
1999113.00000000	172744810.00000000	26.00000000	0.09869651	0.14722127	0.20892557	0.23408566	0.18742668	0.09176210	0.04299212	0.02009453	0.00357596	0.00100572	0.00054183	0.00081560	0.00045419	1999113.00000000	172745933.00000000	26.00000000	9.00183252	11.98583506	15.86658040	18.22514767	18.32422026	10.83670446	7.11746220	3.86237246	0.33375051	0.02161903	0.00422585	0.03802486	0.02142211
1999113.00000000	172745802.00000000	27.00000000	0.09160831	0.13711082	0.19618641	0.22050640	0.17686602	0.08575010	0.03968157	0.01842597	0.00330916	0.00093741	0.00050709	0.00077148	0.00042442	1999113.00000000	172746871.00000000	27.00000000	8.65811841	11.59070037	15.56903512	17.99877207	18.12894929	10.56397629	7.33863199	3.65519939	0.29365038	0.02039150	0.00410662	0.03715850	0.02093229
