PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Fri Apr 23 17:27:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:51:33
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
3.00000000	0.02818468	0.02552949	0.02132665	0.01901387	0.01959441	0.02750563	0.03687830	0.04984539	0.11166275	0.19724473	0.20290518	0.16478318	0.09745442
4.00000000	0.03675167	0.03410461	0.02979456	0.02763318	0.02887922	0.03757343	0.04569347	0.05738633	0.10898139	0.17894276	0.17550792	0.13189814	0.08421533
5.00000000	0.04992010	0.04717645	0.04165378	0.03980882	0.04108905	0.05281194	0.06502942	0.07909028	0.13102747	0.18819687	0.17762031	0.14004949	0.09250552
6.00000000	0.05890524	0.05571486	0.04793064	0.04580664	0.04593485	0.05856933	0.07318508	0.08803468	0.13752228	0.17591073	0.15291831	0.11919093	0.08397694
7.00000000	0.06097523	0.05740130	0.04854720	0.04567088	0.04543152	0.05842969	0.07352252	0.08877440	0.13742438	0.15676994	0.12689991	0.09844394	0.07563964
8.00000000	0.06004377	0.05679417	0.04856099	0.04595074	0.04577190	0.05830531	0.07335399	0.08811706	0.13355861	0.14001674	0.10694200	0.07787081	0.06833537
9.00000000	0.05705236	0.05415022	0.04693109	0.04452197	0.04433515	0.05504380	0.06708425	0.07867600	0.11478850	0.11161707	0.08051829	0.04836846	0.05710069
10.00000000	0.06147419	0.05846371	0.05129996	0.04900707	0.04918168	0.06089114	0.07374131	0.08573066	0.11838134	0.10644938	0.08090138	0.05511908	0.06329164
11.00000000	0.06005956	0.05653523	0.04819415	0.04531705	0.04460450	0.05557484	0.06866434	0.08048577	0.11078587	0.09241878	0.07263393	0.05314203	0.06050019
12.00000000	0.05798821	0.05396593	0.04482784	0.04132776	0.04055003	0.05144592	0.06434949	0.07687886	0.10641048	0.08295817	0.06671051	0.05061609	0.05655972
