PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:40
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001058	   120211585	    00000004	3.11002467e-001	4.14928716e-001	5.69617031e-001	7.68218335e-001	8.70873922e-001	6.68416264e-001	4.61314722e-001	3.23290893e-001	1.05146131e-001	2.29521851e-002	1.00317374e-002	1.27042413e-002	1.12373435e-002	    02001058	   120212879	    00000004	4.31575913e+001	5.64021141e+001	5.97935013e+001	6.87096304e+001	7.10056804e+001	6.62627970e+001	6.45099492e+001	5.94663590e+001	3.68882105e+001	1.80359220e+001	8.92176645e+000	7.19495494e+000	3.25742564e+000	
    02001058	   120212723	    00000005	2.81849904e-001	3.79613820e-001	5.33920467e-001	7.29079056e-001	8.31087524e-001	6.34865339e-001	4.35945695e-001	3.02643930e-001	9.33600186e-002	1.81865881e-002	7.95313270e-003	1.09617997e-002	9.81004162e-003	    02001058	   120214025	    00000005	4.47028302e+001	5.79169283e+001	6.46916563e+001	7.66543057e+001	7.97871366e+001	7.19913403e+001	6.78434357e+001	6.28131484e+001	3.58027106e+001	1.51725551e+001	6.83908191e+000	5.18213831e+000	2.24546696e+000	
    02001058	   120213871	    00000006	2.52710191e-001	3.42465914e-001	4.90955734e-001	6.78105079e-001	7.78345140e-001	5.90889627e-001	4.01741881e-001	2.76388032e-001	8.05891959e-002	1.41363636e-002	6.41677441e-003	9.76266931e-003	8.74575677e-003	    02001058	   120215172	    00000006	3.75523384e+001	4.75385713e+001	5.30832962e+001	6.31965506e+001	6.56560323e+001	5.95417729e+001	5.44522579e+001	4.95786086e+001	2.63750437e+001	9.37813130e+000	3.63871668e+000	2.81766548e+000	1.37228540e+000	
    02001058	   120214998	    00000007	2.28913532e-001	3.12838737e-001	4.54385250e-001	6.35048694e-001	7.30550793e-001	5.52770467e-001	3.74873675e-001	2.55968663e-001	7.16654701e-002	1.16186647e-002	5.53019539e-003	9.18859739e-003	8.07064471e-003	    02001058	   120216247	    00000007	3.23706572e+001	4.15182044e+001	4.70495307e+001	5.66135512e+001	5.85862413e+001	5.25761888e+001	4.81289734e+001	4.32978391e+001	2.13890800e+001	6.69619281e+000	2.30817896e+000	1.77686483e+000	8.15322316e-001	
    02001058	   120216104	    00000008	1.95928660e-001	2.69615023e-001	3.99700739e-001	5.66119300e-001	6.55923285e-001	4.91842488e-001	3.29900868e-001	2.22665869e-001	5.93876280e-002	9.20048523e-003	4.66901726e-003	8.22538741e-003	7.14461677e-003	    02001058	   120217303	    00000008	3.08565361e+001	4.01466530e+001	4.74007837e+001	5.85009169e+001	6.10136988e+001	5.39771590e+001	4.99143013e+001	4.41181948e+001	1.99431463e+001	5.27838909e+000	1.57816505e+000	1.21692632e+000	4.79416368e-001	
    02001058	   120217162	    00000009	1.72243147e-001	2.39078887e-001	3.63659409e-001	5.23367096e-001	6.11944558e-001	4.55153740e-001	3.01934259e-001	2.01397205e-001	5.04906094e-002	7.27531506e-003	4.03599151e-003	7.65276405e-003	6.54083948e-003	    02001058	   120218395	    00000009	2.49563048e+001	3.33300021e+001	3.99194606e+001	4.97972005e+001	5.17382254e+001	4.43387546e+001	4.05643469e+001	3.52561532e+001	1.38420264e+001	2.99794805e+000	7.39963796e-001	6.00320278e-001	2.62970138e-001	
    02001058	   120218238	    00000010	1.52037982e-001	2.13286092e-001	3.33370333e-001	4.87698495e-001	5.74145185e-001	4.23426584e-001	2.77626143e-001	1.82581866e-001	4.27101208e-002	5.78795252e-003	3.57534426e-003	7.21976100e-003	6.07965437e-003	    02001058	   120219521	    00000010	2.14256231e+001	2.97037187e+001	3.66129732e+001	4.64207056e+001	4.84003172e+001	3.99571248e+001	3.67705096e+001	3.14935158e+001	1.08029912e+001	2.02296664e+000	4.48448534e-001	3.64196551e-001	1.96114175e-001	
    02001058	   120219361	    00000011	1.32389108e-001	1.87462906e-001	2.99911571e-001	4.45373046e-001	5.27527434e-001	3.85321227e-001	2.49788134e-001	1.61806016e-001	3.56967813e-002	4.72534861e-003	3.18202498e-003	6.70334963e-003	5.54070345e-003	    02001058	   120220648	    00000011	1.90939360e+001	2.73530928e+001	3.47466979e+001	4.49903953e+001	4.67235766e+001	3.73640032e+001	3.50527023e+001	2.96755401e+001	9.19453632e+000	1.55976378e+000	2.98986565e-001	2.82077365e-001	1.71499797e-001	
    02001058	   120220497	    00000012	1.17482889e-001	1.67705358e-001	2.74679247e-001	4.13855434e-001	4.94099729e-001	3.58550717e-001	2.30069988e-001	1.47591813e-001	3.11080298e-002	4.06184759e-003	2.91949155e-003	6.34399762e-003	5.13799199e-003	    02001058	   120221763	    00000012	1.69155372e+001	2.38034140e+001	3.06791143e+001	4.00303801e+001	4.18962095e+001	3.37688929e+001	3.07783926e+001	2.57081444e+001	7.56765009e+000	1.07483653e+000	1.80165762e-001	2.13286505e-001	1.41850156e-001	
