PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 15:43:49
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
4.00000000	0.10377875	0.09596730	0.07430515	0.06238586	0.05616358	0.06164094	0.06913536	0.07837336	0.13299326	0.24233134	0.22341912	0.13168502	0.12533692	
5.00000000	0.10285008	0.09502390	0.07619495	0.06435968	0.05926604	0.06416885	0.07041821	0.07912436	0.12971248	0.22943349	0.20012423	0.10877684	0.11078652	
6.00000000	0.11321308	0.10556899	0.08697978	0.07486188	0.06958431	0.07519753	0.08215052	0.09132624	0.14069845	0.22763854	0.18929531	0.10458742	0.11009397	
7.00000000	0.12394278	0.11638988	0.09736962	0.08434955	0.07833131	0.08490260	0.09316343	0.10306892	0.15346303	0.22618888	0.16745948	0.08900396	0.10128915	
8.00000000	0.13006632	0.12159697	0.09969276	0.08526283	0.07857326	0.08608058	0.09554486	0.10689902	0.16200790	0.22540694	0.14846793	0.07863844	0.09374094	
9.00000000	0.13488182	0.12585744	0.10123776	0.08586863	0.07843573	0.08715094	0.09844688	0.11157873	0.17235470	0.22628206	0.13722979	0.07611155	0.09136351	
10.00000000	0.12860776	0.11927855	0.09429542	0.07879471	0.07150537	0.07987347	0.09104135	0.10413246	0.16399667	0.20667823	0.11768125	0.06518921	0.08253377	
11.00000000	0.12623684	0.11722548	0.09378538	0.07891067	0.07226003	0.08020209	0.09065200	0.10298143	0.15680086	0.17951066	0.10067377	0.06085087	0.07963813	
12.00000000	0.12160404	0.11347146	0.09205552	0.07812176	0.07157068	0.07863231	0.08803416	0.09873166	0.14467878	0.15063965	0.08551951	0.05477192	0.07620685	
13.00000000	0.11766066	0.11010435	0.09006378	0.07688121	0.07049886	0.07673077	0.08518324	0.09464871	0.13526788	0.13002586	0.07455548	0.04767751	0.07062394	
14.00000000	0.11899406	0.11164491	0.09449598	0.07923966	0.07294913	0.07903218	0.08725277	0.09642659	0.13467407	0.12247123	0.07024449	0.04523451	0.06860746	
15.00000000	0.12231977	0.11464108	0.09956514	0.08074257	0.07414688	0.08094847	0.08865237	0.09806051	0.13515318	0.11729659	0.06861719	0.04561845	0.06837993	
16.00000000	0.13316129	0.12505433	0.10929054	0.08809392	0.08088982	0.10247546	0.09852362	0.10970892	0.14952306	0.12454774	0.08301988	0.06680268	0.08202185	
17.00000000	0.13292099	0.12413775	0.10559596	0.08442529	0.07667278	0.11723821	0.09534633	0.10675514	0.14711286	0.11698934	0.08459410	0.07495750	0.08463295	
18.00000000	0.13017612	0.12139830	0.09966025	0.08214801	0.07444212	0.12064880	0.09266526	0.10413737	0.14226798	0.10807272	0.08809376	0.08523539	0.08870821	
19.00000000	0.12650272	0.11865088	0.09713904	0.08519404	0.07556249	0.11402716	0.09272811	0.10310820	0.13622703	0.10327515	0.09352347	0.09629309	0.09337304	
20.00000000	0.11702600	0.10954352	0.08986962	0.08455914	0.07266741	0.08849035	0.08424647	0.09270103	0.11880025	0.08910734	0.08627095	0.08962398	0.08601479	
21.00000000	0.12287132	0.11568448	0.09610712	0.09275694	0.09245755	0.08317499	0.09154771	0.10081310	0.12619694	0.09539158	0.09926489	0.10493621	0.09615884	
22.00000000	0.12842329	0.12062454	0.09921933	0.09316416	0.10461760	0.08501810	0.09459488	0.10466364	0.13113157	0.09746114	0.10383354	0.10971105	0.09904204	
23.00000000	0.13299724	0.12442103	0.10071235	0.08899870	0.10555224	0.08527839	0.09567789	0.10683382	0.13436248	0.09824746	0.10441146	0.11005900	0.09938765	
24.00000000	0.13535368	0.12684839	0.10288283	0.08683762	0.09890350	0.08708007	0.09800132	0.10919966	0.13556175	0.10032059	0.10671587	0.11391969	0.10149932	
25.00000000	0.12702810	0.11903609	0.09705717	0.08242143	0.08004508	0.08203440	0.09153270	0.10100844	0.12192708	0.09169230	0.09780908	0.10460246	0.09427517	
26.00000000	0.12114348	0.11374391	0.09351105	0.08019150	0.07351928	0.07942998	0.08769108	0.09582856	0.11252054	0.08738413	0.09406625	0.10141232	0.09161848	
27.00000000	0.12015407	0.11297058	0.09335991	0.08036818	0.07377859	0.07960789	0.08771367	0.09554561	0.10989701	0.08642030	0.09287009	0.10039232	0.09123353	
28.00000000	0.12531844	0.11754519	0.09653963	0.08261835	0.07553081	0.08210931	0.09111706	0.09993701	0.11405121	0.08843445	0.09393318	0.10094912	0.09246826	
29.00000000	0.13275242	0.12422117	0.10071937	0.08512900	0.07742122	0.08480086	0.09505560	0.10515970	0.12003358	0.09271763	0.09681104	0.10440889	0.09515984	
30.00000000	0.13521633	0.12640617	0.10211950	0.08612405	0.07828321	0.08580242	0.09630440	0.10671518	0.12013948	0.09297450	0.09567777	0.10298253	0.09399512	
31.00000000	0.13290071	0.12454514	0.10119105	0.08588733	0.07834000	0.08525555	0.09519899	0.10476619	0.11611392	0.09248694	0.09442218	0.10240229	0.09312608	
32.00000000	0.12671378	0.11900997	0.09770613	0.08362245	0.07655177	0.08252913	0.09147043	0.09947980	0.10815402	0.08865195	0.09106740	0.09987452	0.08983646	
33.00000000	0.12240706	0.11494596	0.09479733	0.08143596	0.07450166	0.08000075	0.08845798	0.09570466	0.10239716	0.08520780	0.09006029	0.09870701	0.08765803	
34.00000000	0.12312334	0.11548097	0.09443253	0.08027591	0.07305520	0.07883566	0.08799652	0.09601377	0.10274058	0.08627286	0.09288795	0.10153908	0.08908374	
35.00000000	0.12446913	0.11629451	0.09415622	0.07936936	0.07199540	0.07790508	0.08733747	0.09588871	0.10161436	0.08671613	0.09339111	0.10094035	0.08898018	
36.00000000	0.12743102	0.11918985	0.09708922	0.08225170	0.07478977	0.08064524	0.09012101	0.09874567	0.10348300	0.09071893	0.09642170	0.10288935	0.09188791	
37.00000000	0.12915749	0.12050906	0.09814443	0.08307778	0.07546205	0.08128142	0.09056921	0.09898275	0.10307209	0.09094546	0.09526235	0.10073406	0.09197525	
38.00000000	0.13170362	0.12276550	0.09973740	0.08457510	0.07665471	0.08252657	0.09163008	0.10006872	0.10284571	0.09059856	0.09533312	0.09854632	0.09129864	
39.00000000	0.13306815	0.12423921	0.10082048	0.08548740	0.07734699	0.08313470	0.09225068	0.10068015	0.10422903	0.09193011	0.09460152	0.09721021	0.09003482	
40.00000000	0.13114168	0.12237577	0.09947679	0.08441977	0.07636039	0.08165315	0.09017671	0.09780712	0.10137311	0.09186660	0.09188592	0.09390667	0.08626126	
41.00000000	0.13069370	0.12206771	0.10023552	0.08551165	0.07761272	0.08235142	0.09041320	0.09701689	0.09994929	0.09405502	0.09047502	0.09318531	0.08516478	
42.00000000	0.13036829	0.12171176	0.09909588	0.08375581	0.07553904	0.08013980	0.08819227	0.09471642	0.09664736	0.09271749	0.08738657	0.08929158	0.08217232	
43.00000000	0.13505018	0.12532531	0.10066881	0.08409561	0.07528703	0.08036149	0.08917184	0.09667144	0.09732333	0.09202584	0.08744036	0.08900154	0.08194132	
44.00000000	0.13926175	0.12869549	0.10322228	0.08621408	0.07699383	0.08215559	0.09157272	0.09926664	0.09974227	0.09550826	0.08989479	0.08996656	0.08350057	
45.00000000	0.13843072	0.12830955	0.10394554	0.08735980	0.07828173	0.08292664	0.09194847	0.09885785	0.09771616	0.09431393	0.09031813	0.09028534	0.08435646	
46.00000000	0.13421609	0.12443654	0.10213239	0.08636459	0.07771514	0.08168649	0.08994094	0.09567565	0.09564338	0.09285921	0.08632221	0.08752044	0.08187590	
47.00000000	0.13237973	0.12313273	0.10138234	0.08596410	0.07741041	0.08118652	0.08915791	0.09478215	0.09244271	0.09270062	0.08773913	0.08958640	0.08149555	
48.00000000	0.13813095	0.12739957	0.10485214	0.08871582	0.07973974	0.08414310	0.09289391	0.09978760	0.09738159	0.09773661	0.09297426	0.09751682	0.08624293	
49.00000000	0.14661567	0.13322463	0.10899445	0.09168845	0.08199900	0.08698113	0.09686529	0.10439061	0.10412388	0.10602142	0.09973900	0.10447684	0.09106798	
50.00000000	0.15276368	0.13717912	0.11095705	0.09266729	0.08257768	0.08756643	0.09789750	0.10564275	0.10317995	0.10270321	0.09916182	0.10633458	0.09170939	
51.00000000	0.14948340	0.13565583	0.10939047	0.09068576	0.08049498	0.08499172	0.09511407	0.10199594	0.09706000	0.10202816	0.09486412	0.10219315	0.08620451	
52.00000000	0.14454433	0.13242717	0.10653343	0.08855113	0.07855855	0.08230180	0.09179591	0.09801204	0.09134184	0.10493115	0.09449367	0.10049431	0.08478361	
53.00000000	0.14183485	0.12925235	0.10455579	0.08720585	0.07733640	0.08041722	0.08961265	0.09505270	0.09074109	0.10421583	0.10035133	0.10636546	0.08648817	
