PROSOFT : ProSoft 7.4
CRUISE-ID : Mc479
OPERATOR : enzo
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Wed Apr 18 10:20:46 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:42
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.083864
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
         NaN	         NaN	    00000002	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	         NaN	    02001108	   102046886	    00000002	4.67623998e+001	5.57782691e+001	5.83548666e+001	6.94214027e+001	7.39608267e+001	7.28040630e+001	7.65343632e+001	7.35011256e+001	5.58087737e+001	3.80391124e+001	2.57084874e+001	1.98121448e+001	1.97145716e+001	
    02001108	   102046686	    00000003	1.32037149e-001	1.61275906e-001	1.85306715e-001	2.70440857e-001	3.44965577e-001	3.53233929e-001	3.76317165e-001	3.45967134e-001	1.39214720e-001	3.51796232e-002	1.99298232e-002	4.00096182e-002	2.11167384e-002	    02001108	   102048260	    00000003	3.51677609e+001	4.14441784e+001	4.46583574e+001	5.53914829e+001	6.33427983e+001	6.36825211e+001	6.44148012e+001	6.44251939e+001	4.47763306e+001	2.52255976e+001	1.41598262e+001	1.11629716e+001	9.78830409e+000	
    02001108	   102048055	    00000004	1.05767145e-001	1.29124614e-001	1.50033831e-001	2.24959816e-001	2.93691556e-001	3.02630358e-001	3.22257781e-001	2.96191162e-001	1.12825904e-001	2.48461630e-002	1.46938523e-002	3.31245012e-002	1.67477649e-002	    02001108	   102049562	    00000004	2.63947488e+001	3.12249018e+001	3.47511557e+001	4.52803405e+001	5.23961112e+001	5.29833312e+001	5.49338699e+001	5.51531827e+001	3.47392942e+001	1.67269133e+001	7.87554150e+000	5.94834270e+000	4.40696769e+000	
    02001108	   102049389	    00000005	8.27110908e-002	1.01101900e-001	1.19327924e-001	1.84956312e-001	2.48382236e-001	2.57821742e-001	2.75180290e-001	2.53019037e-001	9.02414498e-002	1.67684637e-002	1.07673992e-002	2.72920122e-002	1.33420372e-002	    02001108	   102050785	    00000005	2.01616768e+001	2.38537982e+001	2.71125417e+001	3.66911657e+001	4.36766442e+001	4.47740757e+001	4.68217455e+001	4.72706221e+001	2.76722161e+001	1.12616137e+001	4.54873202e+000	3.40506993e+000	2.24965086e+000	
    02001108	   102050613	    00000006	6.39395140e-002	7.83549789e-002	9.38292176e-002	1.50371895e-001	2.07092657e-001	2.16694040e-001	2.31970441e-001	2.13374960e-001	7.11940880e-002	1.14552227e-002	8.18605006e-003	2.25539014e-002	1.07785459e-002	    02001108	   102051940	    00000006	1.59341381e+001	1.88837483e+001	2.19736193e+001	3.09270755e+001	3.77475741e+001	3.90876491e+001	4.14259850e+001	4.18426563e+001	2.24927853e+001	7.60096653e+000	2.57632431e+000	1.91150154e+000	1.12289337e+000	
    02001108	   102051771	    00000007	5.09215119e-002	6.25986546e-002	7.62627875e-002	1.26279584e-001	1.78399533e-001	1.88154090e-001	2.01782122e-001	1.85813744e-001	5.86070466e-002	8.25309864e-003	6.72545823e-003	1.98797565e-002	9.33482099e-003	    02001108	   102053122	    00000007	1.24448648e+001	1.47852415e+001	1.74582341e+001	2.53542354e+001	3.15756686e+001	3.29646422e+001	3.52219087e+001	3.55600300e+001	1.75869461e+001	4.98751042e+000	1.43681276e+000	1.08827680e+000	5.99202502e-001	
    02001108	   102052943	    00000008	4.03431761e-002	4.97471568e-002	6.16008197e-002	1.05233003e-001	1.52286059e-001	1.61727193e-001	1.73953993e-001	1.60178900e-001	4.76756355e-002	5.97428704e-003	5.55525014e-003	1.71985020e-002	8.02061865e-003	    02001108	   102054309	    00000008	9.90078864e+000	1.17885168e+001	1.42022144e+001	2.13179686e+001	2.71491241e+001	2.85802320e+001	3.08372621e+001	3.11109377e+001	1.42494717e+001	3.41011603e+000	8.49961171e-001	6.69681171e-001	3.47480006e-001	
    02001108	   102054138	    00000009	3.18543711e-002	3.93935803e-002	4.95453371e-002	8.73520510e-002	1.29522921e-001	1.38510639e-001	1.49343319e-001	1.37585834e-001	3.86549942e-002	4.36386581e-003	4.59285251e-003	1.46463674e-002	6.80701948e-003	    02001108	   102055494	    00000009	7.87903012e+000	9.39357273e+000	1.14773651e+001	1.77301307e+001	2.30138127e+001	2.43780634e+001	2.64527049e+001	2.66587027e+001	1.12771276e+001	2.28160482e+000	5.04068536e-001	4.24193665e-001	2.09463244e-001	
    02001108	   102055320	    00000010	2.53861864e-002	3.14936423e-002	4.02260356e-002	7.31013846e-002	1.10918221e-001	1.19296868e-001	1.28768542e-001	1.18689923e-001	3.16308701e-002	3.27987629e-003	3.85126353e-003	1.24707530e-002	5.81818998e-003	    02001108	   102056704	    00000010	6.43885519e+000	7.69930834e+000	9.59304135e+000	1.52735546e+001	2.02298747e+001	2.15661342e+001	2.35526406e+001	2.37424036e+001	9.38317676e+000	1.63303048e+000	3.13018817e-001	2.87166206e-001	1.45773688e-001	
