PROSOFT : ProSoft 7.4
CRUISE-ID : Mc479
OPERATOR : enzo
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Wed Apr 18 10:20:46 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 15:43:52
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.083864
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
2.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
3.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
4.00000000	0.24213235	0.24102503	0.22705937	0.19566279	0.16983962	0.16261761	0.16093924	0.16074187	0.22351802	0.37592672	0.29802635	0.19133146	0.22448701	
5.00000000	0.24088981	0.23922741	0.22450390	0.19259204	0.16682018	0.15937643	0.15752294	0.15711521	0.21907613	0.36740142	0.27576321	0.17832010	0.20733360	
6.00000000	0.24127036	0.23870344	0.22280615	0.19011109	0.16444820	0.15682096	0.15433598	0.15381474	0.21544849	0.35593884	0.24159944	0.16277940	0.18296667	
7.00000000	0.23688735	0.23393483	0.21787756	0.18572808	0.16096275	0.15352181	0.15101764	0.15051932	0.20966150	0.33432643	0.20917314	0.15158892	0.16414729	
8.00000000	0.23165756	0.22860686	0.21252207	0.18110803	0.15689140	0.15000568	0.14781275	0.14735700	0.20387314	0.31385105	0.18894592	0.14905534	0.15489341	
9.00000000	0.22803853	0.22497506	0.20941604	0.17912510	0.15591215	0.14976063	0.14801666	0.14776350	0.20197695	0.29570969	0.18221250	0.15865770	0.15914866	
10.00000000	0.22523542	0.22202127	0.20632137	0.17626829	0.15328683	0.14771184	0.14655690	0.14638949	0.19885940	0.27875590	0.18015627	0.16871676	0.16673242	
