PROSOFT : ProSoft 7.4
CRUISE-ID : mc486
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 0\8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Jun 05 10:50:00 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 16:32:28
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 1.0902
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	Datetag	Timetag2	399.5	412.3	442.7	470.3	490.4	510.4	531.9	554.9	590.6	620.5	664.6	683.3	700.2	Datetag	Timetag2	411.8	442.7	490.8	510.1	555.0	664.5	683.6	
         NaN	         NaN	    00000001	1.94898380e-001	2.41804098e-001	2.94654690e-001	4.59334138e-001	6.12252862e-001	6.63230277e-001	6.59863377e-001	6.50315289e-001	3.59581338e-001	1.05308767e-001	5.22276231e-002	7.41311825e-002	4.48067058e-002	    02001156	   105002248	    00000001	5.08518992e+001	6.02492603e+001	6.45710326e+001	7.89506640e+001	8.81812550e+001	8.76741236e+001	9.02375315e+001	9.17542802e+001	7.07809427e+001	5.10676826e+001	3.56597012e+001	2.98007528e+001	2.95948625e+001	    02001156	   105002248	8.65641320e+001	1.03246873e+002	1.16541974e+002	1.27767809e+002	1.25717795e+002	1.32608009e+002	1.25943737e+002	1.19062657e+002	1.12290068e+002	1.12141992e+002	1.09332757e+002	1.03663657e+002	1.00121358e+002	    02001156	   105002248	4.29489468e-001	4.95610755e-001	7.62380478e-001	8.24870533e-001	8.91418873e-001	1.19768094e-001	1.35546042e-001	
    02001156	   105002028	    00000002	1.50127177e-001	1.87677205e-001	2.34997720e-001	3.83583916e-001	5.24364245e-001	5.75021962e-001	5.76040339e-001	5.68618448e-001	3.03415474e-001	7.95171605e-002	3.83111706e-002	6.01033710e-002	3.39394286e-002	    02001156	   105003474	    00000002	3.50299173e+001	4.15848472e+001	4.63290686e+001	6.04949122e+001	6.97104310e+001	7.08358242e+001	7.45197955e+001	7.67412852e+001	5.55515282e+001	3.40623729e+001	2.03756159e+001	1.63860597e+001	1.44538554e+001	    02001156	   105003474	8.72163248e+001	1.04067412e+002	1.17462371e+002	1.28841148e+002	1.26749105e+002	1.33640845e+002	1.26953301e+002	1.20088204e+002	1.13206322e+002	1.13102808e+002	1.10287133e+002	1.04504846e+002	1.00967007e+002	    02001156	   105003474	4.30295104e-001	4.96037627e-001	7.64203806e-001	8.27306801e-001	8.93961997e-001	1.19927848e-001	1.35612702e-001	
    02001156	   105003310	    00000003	1.00405833e-001	1.27356705e-001	1.65580911e-001	2.87928976e-001	4.05367978e-001	4.48966674e-001	4.51159982e-001	4.43451390e-001	2.17409514e-001	5.08224170e-002	2.44321817e-002	4.39853472e-002	2.30116877e-002	    02001156	   105004609	    00000003	2.40084043e+001	2.88158326e+001	3.34814002e+001	4.67966165e+001	5.57998203e+001	5.82929646e+001	6.30165412e+001	6.60220460e+001	4.44256438e+001	2.28007563e+001	1.13954639e+001	8.93684250e+000	6.95647713e+000	    02001156	   105004609	8.88254416e+001	1.06027577e+002	1.19735401e+002	1.31348348e+002	1.29359108e+002	1.36220511e+002	1.29607356e+002	1.22562379e+002	1.15509977e+002	1.15425321e+002	1.12462210e+002	1.06490632e+002	1.02903498e+002	    02001156	   105004609	4.29921642e-001	4.95347344e-001	7.61139607e-001	8.23518425e-001	8.88428969e-001	1.18831122e-001	1.35115779e-001	
    02001156	   105004448	    00000004	6.76367082e-002	8.69182581e-002	1.17689930e-001	2.17217949e-001	3.17630663e-001	3.53391075e-001	3.53221141e-001	3.45337429e-001	1.47942314e-001	3.13410170e-002	1.54020249e-002	3.12808975e-002	1.56829939e-002	    02001156	   105005707	    00000004	1.54716846e+001	1.86161281e+001	2.24723961e+001	3.35283892e+001	4.13661059e+001	4.42805237e+001	4.91685657e+001	5.20540170e+001	3.24240214e+001	1.38627758e+001	5.79111248e+000	4.45729268e+000	3.07942508e+000	    02001156	   105005707	8.85992380e+001	1.05829662e+002	1.19428359e+002	1.31174690e+002	1.28973367e+002	1.35822693e+002	1.29082431e+002	1.22211402e+002	1.15196948e+002	1.15236462e+002	1.12174383e+002	1.06153644e+002	1.02687143e+002	    02001156	   105005707	4.27098795e-001	4.90348963e-001	7.54720343e-001	8.16983231e-001	8.88308445e-001	1.17874623e-001	1.33800175e-001	
    02001156	   105005542	    00000005	4.53740274e-002	5.93724419e-002	8.49061403e-002	1.63472222e-001	2.48220799e-001	2.76942355e-001	2.75110049e-001	2.66188392e-001	1.03826763e-001	1.86928027e-002	9.53046716e-003	2.12683282e-002	1.04776928e-002	    02001156	   105006809	    00000005	1.10310854e+001	1.34159785e+001	1.69218182e+001	2.68625267e+001	3.41769631e+001	3.73848265e+001	4.23883667e+001	4.54914374e+001	2.65188303e+001	9.67985648e+000	3.48765483e+000	2.65092709e+000	1.63808551e+000	    02001156	   105006809	8.58299045e+001	1.02361887e+002	1.15517599e+002	1.26599272e+002	1.24526957e+002	1.31405560e+002	1.24639147e+002	1.17819486e+002	1.11193518e+002	1.10983832e+002	1.08179379e+002	1.02599739e+002	9.90802974e+001	    02001156	   105006809	4.34083388e-001	5.00385828e-001	7.76059100e-001	8.41837355e-001	9.04934786e-001	1.19481563e-001	1.35903885e-001	
    02001156	   105006649	    00000006	3.24944446e-002	4.34340693e-002	6.55092818e-002	1.29499860e-001	1.90963005e-001	2.15823684e-001	2.17609681e-001	2.06827087e-001	7.52979336e-002	1.18486787e-002	6.31776408e-003	1.45465490e-002	7.22851982e-003	    02001156	   105007915	    00000006	7.86367255e+000	9.62561989e+000	1.25977028e+001	2.10862304e+001	2.75252466e+001	3.06462518e+001	3.54238426e+001	3.81883011e+001	2.07564367e+001	6.44530099e+000	2.00422808e+000	1.52517405e+000	8.53098145e-001	    02001156	   105007915	8.83744647e+001	1.05565322e+002	1.19115292e+002	1.30830744e+002	1.28605263e+002	1.35461795e+002	1.28682331e+002	1.21848934e+002	1.14876300e+002	1.14902284e+002	1.11858300e+002	1.05855142e+002	1.02403494e+002	    02001156	   105007915	4.24790255e-001	4.86816887e-001	7.51977085e-001	8.14681441e-001	8.83719198e-001	1.17942200e-001	1.34189493e-001	
    02001156	   105007764	    00000007	2.42372828e-002	3.30651931e-002	5.23745047e-002	1.06526359e-001	1.54201826e-001	1.63810526e-001	1.74316737e-001	1.61965283e-001	5.48093690e-002	7.56718360e-003	4.21431810e-003	9.71488074e-003	4.97882066e-003	    02001156	   105008966	    00000007	5.82798322e+000	7.21692251e+000	9.80558139e+000	1.71873959e+001	2.29715703e+001	2.58952046e+001	3.02585052e+001	3.28103590e+001	1.66194125e+001	4.41103962e+000	1.19632815e+000	9.25215455e-001	4.73999154e-001	    02001156	   105008966	8.67679843e+001	1.03575272e+002	1.16854418e+002	1.28213795e+002	1.26008230e+002	1.32829256e+002	1.25976158e+002	1.19171221e+002	1.12469116e+002	1.12389652e+002	1.09379508e+002	1.03614232e+002	1.00156309e+002	    02001156	   105008966	4.35498973e-001	5.01417483e-001	7.73819822e-001	8.38479092e-001	9.00573665e-001	1.19154476e-001	1.36459741e-001	
    02001156	   105008824	    00000008	1.88587714e-002	2.61944391e-002	4.32329736e-002	8.99620319e-002	1.31191914e-001	1.35307238e-001	1.42660066e-001	1.30483643e-001	4.13212859e-002	5.15948857e-003	3.04654477e-003	6.98731784e-003	3.71263099e-003	    02001156	   105010022	    00000008	4.29536261e+000	5.37935750e+000	7.64086333e+000	1.40100937e+001	1.91582741e+001	2.17344146e+001	2.56557986e+001	2.77656427e+001	1.29514301e+001	2.87401554e+000	6.73813289e-001	5.36708039e-001	2.55166970e-001	    02001156	   105010022	8.95732561e+001	1.07064497e+002	1.20815069e+002	1.32796508e+002	1.30544805e+002	1.37367156e+002	1.30627603e+002	1.23742641e+002	1.16604537e+002	1.16728243e+002	1.13566118e+002	1.07372368e+002	1.03931965e+002	    02001156	   105010022	4.24238886e-001	4.83357023e-001	7.43476211e-001	8.03589205e-001	8.81024604e-001	1.16314813e-001	1.32037475e-001	
    02001156	   105009864	    00000009	1.48558971e-002	2.10155957e-002	3.61460953e-002	7.72135274e-002	1.13410563e-001	1.15509949e-001	1.19856391e-001	1.07687130e-001	3.16088473e-002	3.59305348e-003	2.24070961e-003	5.01612368e-003	2.79401318e-003	    02001156	   105011126	    00000009	3.37520242e+000	4.28279520e+000	6.35985559e+000	1.21124859e+001	1.68781510e+001	1.92063182e+001	2.28094381e+001	2.46094415e+001	1.06216795e+001	1.98650713e+000	4.07334489e-001	3.36713979e-001	1.51797261e-001	    02001156	   105011126	8.53391698e+001	1.01761457e+002	1.14824151e+002	1.25791469e+002	1.23718646e+002	1.30532012e+002	1.23758398e+002	1.16936029e+002	1.10381148e+002	1.10143579e+002	1.07303645e+002	1.01772940e+002	9.82594715e+001	    02001156	   105011126	4.35822400e-001	5.04684312e-001	7.83491472e-001	8.50512214e-001	9.11856644e-001	1.19926743e-001	1.36675810e-001	
