PROSOFT : ProSoft 7.4
CRUISE-ID : mc486
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 0\8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Jun 05 10:50:00 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 16:32:41
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 1.0902
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
1.00000000	0.33162900	0.32056802	0.28817208	0.23353204	0.20617506	0.19508680	0.19010540	0.19143456	0.25157883	0.36427957	0.37985517	0.26098985	0.33317778	
2.00000000	0.35772448	0.34572110	0.31033679	0.25334746	0.22261596	0.21361004	0.21191711	0.21474274	0.29976743	0.40835423	0.41131780	0.29006953	0.35379178	
3.00000000	0.37124088	0.35783508	0.31800378	0.26349269	0.23069507	0.22334587	0.22388066	0.22851937	0.32027139	0.43885614	0.43134781	0.31502928	0.36782191	
4.00000000	0.38551077	0.36901204	0.32226815	0.27378280	0.25106903	0.24430322	0.24416002	0.25330369	0.35263597	0.48077120	0.45461598	0.35640618	0.38798400	
5.00000000	0.35757382	0.33907454	0.28879417	0.25058642	0.24418754	0.25095900	0.23862874	0.25270512	0.34312129	0.47817445	0.44059604	0.37860493	0.38361611	
6.00000000	0.31813932	0.29841910	0.24860264	0.21912776	0.22445124	0.24451535	0.22695566	0.24433705	0.31897519	0.45124981	0.40569877	0.37813819	0.36257278	
7.00000000	0.27771769	0.25828277	0.21235433	0.18644289	0.19420267	0.22158192	0.20839922	0.22705837	0.29786484	0.41296512	0.36247595	0.36223801	0.33098326	
8.00000000	0.24495903	0.22667910	0.18484030	0.16038076	0.15894841	0.18642562	0.18653304	0.20467674	0.27523941	0.37199282	0.32176194	0.34157478	0.29898563	
9.00000000	0.21499985	0.19810725	0.16063956	0.13944897	0.13457345	0.15066258	0.16565425	0.18313141	0.25110549	0.32261564	0.27626287	0.31427278	0.26510030	
10.00000000	0.19064483	0.17517217	0.14186275	0.12364805	0.12074554	0.13338809	0.14963805	0.16744951	0.23224252	0.27799467	0.23730604	0.28889586	0.23830817	
11.00000000	0.17244617	0.15834313	0.12872069	0.11290157	0.11106131	0.12312868	0.13863631	0.15588289	0.21597870	0.23732307	0.19729601	0.24883556	0.20512627	
12.00000000	0.16422062	0.15096020	0.12368363	0.10812330	0.10606788	0.11724533	0.13176220	0.14827185	0.20562035	0.20959232	0.16694092	0.20647477	0.17471423	
13.00000000	0.15901598	0.14630457	0.12024102	0.10410930	0.10136563	0.11156881	0.12520806	0.14103354	0.19649551	0.18881193	0.14688879	0.17201508	0.15117717	
14.00000000	0.15150390	0.13918455	0.11458943	0.09904851	0.09619813	0.10607713	0.11947987	0.13509938	0.18862399	0.16987257	0.13496051	0.15076389	0.13693564	
15.00000000	0.14250993	0.13086489	0.10821972	0.09398991	0.09163432	0.10147015	0.11483123	0.13048446	0.18114774	0.15138235	0.12599614	0.13999594	0.12907704	
16.00000000	0.13574704	0.12503591	0.10373634	0.09026159	0.08801779	0.09772892	0.11096842	0.12663923	0.17552865	0.13854685	0.12168292	0.13520445	0.12456869	
17.00000000	0.13173111	0.12181804	0.10161548	0.08786745	0.08525152	0.09476588	0.10783960	0.12373825	0.17226503	0.13628046	0.12983247	0.14050972	0.12848694	
18.00000000	0.12774428	0.11841004	0.09884343	0.08462087	0.08150724	0.09036591	0.10287158	0.11837155	0.16601207	0.13459791	0.13798334	0.14489611	0.13187690	
19.00000000	0.12260798	0.11373985	0.09479497	0.08059403	0.07734297	0.08536582	0.09710775	0.11159203	0.15583276	0.12544725	0.13430101	0.13940660	0.12880882	
20.00000000	0.12068845	0.11156601	0.09269897	0.07846163	0.07529811	0.08221520	0.09304125	0.10583242	0.14344614	0.10411238	0.10895537	0.11304997	0.11221898	
21.00000000	0.12442977	0.11490807	0.09475999	0.07963458	0.07626986	0.08193677	0.09194848	0.10299944	0.13392970	0.08031312	0.07214171	0.07378157	0.08556919	
22.00000000	0.13107812	0.12085682	0.09884534	0.08199679	0.07811078	0.08318640	0.09293080	0.10339695	0.13082483	0.07121304	0.05387319	0.05320259	0.07112227	
23.00000000	0.13421365	0.12363905	0.10017003	0.08191875	0.07768096	0.08257059	0.09251138	0.10304146	0.12995462	0.07061864	0.05372155	0.05090989	0.06875072	
24.00000000	0.13065083	0.12037188	0.09668911	0.07826341	0.07414735	0.07963723	0.08996079	0.10130438	0.12820375	0.07569068	0.06616575	0.06534477	0.07412851	
25.00000000	0.12331756	0.11405588	0.09078381	0.07334208	0.06952032	0.07605497	0.08697723	0.09950001	0.12700004	0.08247207	0.08269980	0.08393854	0.08475947	
26.00000000	0.11798562	0.11003358	0.08688540	0.07022728	0.06633553	0.07376778	0.08518950	0.09885304	0.12870365	0.09116978	0.09641289	0.09477518	0.09117848	
