PROSOFT : ProSoft 7.4
CRUISE-ID : mc497
OPERATOR : gianluca
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 6/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Aug 21 10:30:59 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 16:32:33
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.34594
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	Datetag	Timetag2	399.5	412.3	442.7	470.3	490.4	510.4	531.9	554.9	590.6	620.5	664.6	683.3	700.2	Datetag	Timetag2	411.8	442.7	490.8	510.1	555.0	664.5	683.6	
    02001233	   103059210	    00000002	4.23234340e-001	5.29541510e-001	5.41054164e-001	5.82815839e-001	5.36415442e-001	3.42059893e-001	2.39602831e-001	1.60532055e-001	5.17249294e-002	1.53050040e-002	7.75836527e-003	9.73554317e-003	7.94937404e-003	    02001233	   103100811	    00000002	4.50114727e+001	5.29070085e+001	5.19274600e+001	5.77209517e+001	5.99587085e+001	5.48685196e+001	5.18403199e+001	4.90237934e+001	3.40773578e+001	2.40792122e+001	1.71339061e+001	1.41308770e+001	1.15486406e+001	    02001233	   103100811	4.57547467e+001	5.24754952e+001	5.83743181e+001	6.23760219e+001	6.17076395e+001	6.56761001e+001	6.32019248e+001	5.84230579e+001	5.12422648e+001	5.48589256e+001	5.31114710e+001	5.15324041e+001	4.50949289e+001	    02001233	   103100811	5.92991898e-001	6.02786248e-001	5.63917440e-001	3.92751270e-001	2.05022794e-001	2.40533424e-002	2.29244815e-002	
    02001233	   103100598	    00000003	4.09299971e-001	5.13530480e-001	5.27659439e-001	5.69886355e-001	5.24335865e-001	3.31790110e-001	2.29609045e-001	1.52288047e-001	4.68474907e-002	1.25786454e-002	6.21236574e-003	8.19907677e-003	6.91944225e-003	    02001233	   103102472	    00000003	4.23600344e+001	4.98443646e+001	4.93178504e+001	5.50790682e+001	5.75595711e+001	5.21362335e+001	4.88026296e+001	4.53700560e+001	2.86632920e+001	1.66638507e+001	1.01557435e+001	8.11639543e+000	5.59028561e+000	    02001233	   103102472	4.56287367e+001	5.23700021e+001	5.83029153e+001	6.23604552e+001	6.17029337e+001	6.56490018e+001	6.32582932e+001	5.84970456e+001	5.12800709e+001	5.49250359e+001	5.32856952e+001	5.16271293e+001	4.51953736e+001	    02001233	   103102472	5.50192425e-001	5.54659332e-001	5.33231601e-001	3.79649777e-001	2.00772538e-001	2.76394410e-002	2.58610536e-002	
    02001233	   103102242	    00000004	3.93032926e-001	4.96115723e-001	5.14454555e-001	5.56851256e-001	5.12820510e-001	3.20930670e-001	2.19304598e-001	1.43148758e-001	4.08577213e-002	9.57028143e-003	4.62089909e-003	6.44133797e-003	5.88244016e-003	    02001233	   103103923	    00000004	3.98594860e+001	4.73437848e+001	4.70009561e+001	5.27818589e+001	5.47872921e+001	4.89388015e+001	4.54673498e+001	4.17064198e+001	2.42133296e+001	1.21589487e+001	6.55918122e+000	5.15064330e+000	3.06964228e+000	    02001233	   103103923	4.75545505e+001	5.44906764e+001	6.06775475e+001	6.49929686e+001	6.42845648e+001	6.84166672e+001	6.61535913e+001	6.10589943e+001	5.35269610e+001	5.74886773e+001	5.53790941e+001	5.38259601e+001	4.70303258e+001	    02001233	   103103923	5.78021596e-001	5.90902906e-001	5.58574636e-001	3.89633374e-001	2.01402470e-001	1.98427340e-002	2.13804276e-002	
    02001233	   103103723	    00000005	3.57314678e-001	4.53724439e-001	4.75692557e-001	5.16674178e-001	4.76606672e-001	2.94107670e-001	1.97903806e-001	1.27030593e-001	3.42685831e-002	7.41030772e-003	3.52209615e-003	4.86800842e-003	4.91197752e-003	    02001233	   103105167	    00000005	3.73941969e+001	4.44178662e+001	4.47713313e+001	5.05793699e+001	5.28585885e+001	4.66122617e+001	4.28997736e+001	3.88012355e+001	2.06740719e+001	8.75235004e+000	4.11671138e+000	3.19603867e+000	1.65668487e+000	    02001233	   103105167	4.70495537e+001	5.38632251e+001	5.99346024e+001	6.41395567e+001	6.34310510e+001	6.76020508e+001	6.52667342e+001	6.02177124e+001	5.27795985e+001	5.66624864e+001	5.46193755e+001	5.31406347e+001	4.64348277e+001	    02001233	   103105167	5.91237588e-001	6.03197296e-001	5.71291175e-001	3.99330504e-001	2.07007914e-001	2.05867529e-002	2.20131095e-002	
    02001233	   103105005	    00000006	3.27783091e-001	4.18713393e-001	4.44369733e-001	4.85767242e-001	4.49125306e-001	2.73870076e-001	1.81359212e-001	1.14627691e-001	2.91337412e-002	5.86187867e-003	2.80098836e-003	3.86617494e-003	4.26469191e-003	    02001233	   103106363	    00000006	3.57178407e+001	4.26389491e+001	4.32745843e+001	4.90734963e+001	5.14322103e+001	4.47065585e+001	4.06272093e+001	3.60554560e+001	1.72982354e+001	5.89626432e+000	2.34037147e+000	1.82236128e+000	8.21823512e-001	    02001233	   103106363	4.65376572e+001	5.32763698e+001	5.92731582e+001	6.33846851e+001	6.27004123e+001	6.68672708e+001	6.44570124e+001	5.94602527e+001	5.21489936e+001	5.59415987e+001	5.39597784e+001	5.24965738e+001	4.58974340e+001	    02001233	   103106363	5.88616732e-001	5.96413575e-001	5.67142276e-001	3.97924546e-001	2.06699390e-001	2.16084666e-002	2.28912718e-002	
    02001233	   103106190	    00000007	3.09471980e-001	3.98270292e-001	4.28071205e-001	4.71562159e-001	4.37280308e-001	2.64659922e-001	1.73537194e-001	1.08384484e-001	2.60182213e-002	4.92169799e-003	2.43791107e-003	3.48966098e-003	3.99336614e-003	    02001233	   103107633	    00000007	3.34981547e+001	4.01329573e+001	4.10051303e+001	4.66422785e+001	4.88021574e+001	4.16141882e+001	3.73608386e+001	3.25812487e+001	1.42200401e+001	4.08937811e+000	1.41900206e+000	1.11536406e+000	4.58910632e-001	    02001233	   103107633	4.79621875e+001	5.51108225e+001	6.14884475e+001	6.59230477e+001	6.52743233e+001	6.95467125e+001	6.71019690e+001	6.20979728e+001	5.44744147e+001	5.83948728e+001	5.64686192e+001	5.48554154e+001	4.79674342e+001	    02001233	   103107633	5.86155055e-001	5.91795636e-001	5.63110796e-001	3.95129309e-001	2.05614979e-001	2.16067180e-002	2.28894892e-002	
    02001233	   103107438	    00000008	2.88806497e-001	3.74378934e-001	4.07494066e-001	4.52111449e-001	4.20694758e-001	2.52741415e-001	1.64378739e-001	1.01559888e-001	2.33204617e-002	4.28788387e-003	2.20988428e-003	3.26136685e-003	3.75648131e-003	    02001233	   103108912	    00000008	3.22190751e+001	3.87007150e+001	3.99204142e+001	4.55558861e+001	4.77455600e+001	4.01637203e+001	3.57494080e+001	3.07361458e+001	1.25004999e+001	3.12494124e+000	9.73648435e-001	7.85206852e-001	3.23567962e-001	    02001233	   103108912	4.71752714e+001	5.41744553e+001	6.04589561e+001	6.47302536e+001	6.41822666e+001	6.82954463e+001	6.58807908e+001	6.08044755e+001	5.34305641e+001	5.72415923e+001	5.52238145e+001	5.35909577e+001	4.68756754e+001	    02001233	   103108912	6.05392790e-001	6.20182189e-001	5.82291881e-001	4.05096130e-001	2.10237812e-001	1.95846404e-002	2.11989682e-002	
    02001233	   103108731	    00000009	2.62060264e-001	3.41829944e-001	3.76806839e-001	4.21391485e-001	3.93669983e-001	2.34865832e-001	1.51401183e-001	9.27128979e-002	2.06793623e-002	3.77415810e-003	2.00119498e-003	3.00381977e-003	3.44949437e-003	    02001233	   103110147	    00000009	3.01197904e+001	3.63139641e+001	3.76295405e+001	4.29515486e+001	4.49736583e+001	3.73164488e+001	3.28919950e+001	2.78954671e+001	1.05535149e+001	2.30058359e+000	6.44082004e-001	5.43821810e-001	2.26939143e-001	    02001233	   103110147	4.57617256e+001	5.24533611e+001	5.84113594e+001	6.24932124e+001	6.18548256e+001	6.59483083e+001	6.35887796e+001	5.87111802e+001	5.14930705e+001	5.51919801e+001	5.34837372e+001	5.19352430e+001	4.54342736e+001	    02001233	   103110147	6.10113442e-001	6.25624089e-001	5.86387814e-001	4.09136493e-001	2.12424702e-001	2.20241793e-002	2.26741136e-002	
    02001233	   103109961	    00000010	2.38023062e-001	3.12792073e-001	3.50314684e-001	3.95694634e-001	3.71514523e-001	2.20421709e-001	1.40912957e-001	8.55616625e-002	1.85333481e-002	3.37470347e-003	1.84626971e-003	2.82162232e-003	3.20763769e-003	    02001233	   103111384	    00000010	2.87186842e+001	3.48461972e+001	3.64026135e+001	4.17228053e+001	4.36132035e+001	3.54587936e+001	3.08436009e+001	2.56711455e+001	8.76138263e+000	1.58628030e+000	3.78706535e-001	3.56310034e-001	1.60626995e-001	    02001233	   103111384	4.40407309e+001	5.03437338e+001	5.59263520e+001	5.96847509e+001	5.90454832e+001	6.29743392e+001	6.06613514e+001	5.58855405e+001	4.89988954e+001	5.25395222e+001	5.09423042e+001	4.93888189e+001	4.32453831e+001	    02001233	   103111384	6.06251689e-001	6.34623154e-001	5.93198604e-001	4.12154630e-001	2.13951925e-001	2.07490506e-002	2.22092189e-002	
    02001233	   103111231	    00000011	2.19704985e-001	2.91240432e-001	3.31627666e-001	3.78692771e-001	3.57131601e-001	2.10528080e-001	1.33339401e-001	8.01225825e-002	1.66879855e-002	3.05718351e-003	1.73905418e-003	2.70843358e-003	3.04683102e-003	    02001233	   103112645	    00000011	2.74708863e+001	3.34636065e+001	3.53023593e+001	4.05937683e+001	4.25190065e+001	3.39246153e+001	2.91064233e+001	2.37288104e+001	7.28482654e+000	1.07353565e+000	2.19001077e-001	2.38721223e-001	1.25084916e-001	    02001233	   103112645	4.63098538e+001	5.31752452e+001	5.93169262e+001	6.35264678e+001	6.29369639e+001	6.70586566e+001	6.46677429e+001	5.97474885e+001	5.24651591e+001	5.62128149e+001	5.44745125e+001	5.28603304e+001	4.62412762e+001	    02001233	   103112645	5.94753803e-001	6.18037269e-001	5.80289057e-001	4.04211527e-001	2.10087812e-001	2.10849271e-002	2.23627877e-002	
    02001233	   103112477	    00000012	2.02830074e-001	2.71131452e-001	3.13706451e-001	3.61443611e-001	3.42491646e-001	2.00578871e-001	1.26055845e-001	7.50143881e-002	1.51635588e-002	2.83001326e-003	1.67500609e-003	2.66844621e-003	2.91978548e-003	    02001233	   103113986	    00000012	2.57920621e+001	3.16158283e+001	3.36270746e+001	3.88031084e+001	4.05720267e+001	3.19014549e+001	2.71253446e+001	2.18203110e+001	6.23047640e+000	8.07635969e-001	1.48431606e-001	1.86585185e-001	1.08023121e-001	    02001233	   103113986	4.73886280e+001	5.44523762e+001	6.07767918e+001	6.51554414e+001	6.45442747e+001	6.87529028e+001	6.63520415e+001	6.13606547e+001	5.38885491e+001	5.77345730e+001	5.59392655e+001	5.43064383e+001	4.74858909e+001	    02001233	   103113986	5.88813362e-001	5.97447520e-001	5.70300252e-001	4.00339825e-001	2.08003378e-001	2.18492632e-002	2.30509260e-002	
    02001233	   103113835	    00000013	1.82934469e-001	2.46642552e-001	2.90294448e-001	3.38260809e-001	3.22064180e-001	1.87267345e-001	1.16532610e-001	6.86783436e-002	1.35324242e-002	2.58110202e-003	1.57952448e-003	2.54966190e-003	2.73052446e-003	    02001233	   103115216	    00000013	2.40115612e+001	2.95419074e+001	3.17311110e+001	3.67602195e+001	3.85172585e+001	2.98683818e+001	2.51471994e+001	1.99618558e+001	5.31695287e+000	6.10299739e-001	1.02636243e-001	1.51694497e-001	9.59161224e-002	    02001233	   103115216	4.58651854e+001	5.25505138e+001	5.85392085e+001	6.25984546e+001	6.20088250e+001	6.60844567e+001	6.36933245e+001	5.87100529e+001	5.15961172e+001	5.52769776e+001	5.34359800e+001	5.19143719e+001	4.53952413e+001	    02001233	   103115216	5.91951016e-001	6.14547607e-001	5.87007136e-001	4.10686855e-001	2.12638783e-001	2.01766202e-002	2.19557830e-002	
    02001233	   103115024	    00000014	1.65118328e-001	2.24688654e-001	2.69495200e-001	3.17669076e-001	3.04170559e-001	1.75749685e-001	1.08457032e-001	6.33244954e-002	1.21917208e-002	2.37632235e-003	1.48843521e-003	2.40993138e-003	2.55233739e-003	    02001233	   103116563	    00000014	2.26350345e+001	2.80140779e+001	3.03782010e+001	3.53153362e+001	3.69519532e+001	2.81662200e+001	2.34390484e+001	1.82337242e+001	4.40783459e+000	4.46890999e-001	6.27679049e-002	1.22302926e-001	8.67506076e-002	    02001233	   103116563	4.55854092e+001	5.22441642e+001	5.81610225e+001	6.22036940e+001	6.15708455e+001	6.56566952e+001	6.32496664e+001	5.83927350e+001	5.12551468e+001	5.49138958e+001	5.32074321e+001	5.16751842e+001	4.51927708e+001	    02001233	   103116563	5.95725068e-001	6.11498886e-001	5.84645914e-001	4.10949190e-001	2.13381607e-001	2.20658295e-002	2.35750411e-002	
    02001233	   103116363	    00000015	1.50735239e-001	2.06646024e-001	2.51481366e-001	2.99144939e-001	2.87674856e-001	1.65003866e-001	1.00739394e-001	5.81767654e-002	1.09072061e-002	2.18403870e-003	1.36844357e-003	2.20013859e-003	2.35359791e-003	    02001233	   103117983	    00000015	2.09055380e+001	2.61114828e+001	2.88179952e+001	3.38127613e+001	3.54607652e+001	2.66141059e+001	2.19134824e+001	1.67491233e+001	3.68486586e+000	3.19382969e-001	4.01842696e-002	1.03884423e-001	8.01905801e-002	    02001233	   103117983	4.73536974e+001	5.45221227e+001	6.09115547e+001	6.53267318e+001	6.47566698e+001	6.89247326e+001	6.64295118e+001	6.15392327e+001	5.40663037e+001	5.78604336e+001	5.60933691e+001	5.44210374e+001	4.75757110e+001	    02001233	   103117983	5.98294141e-001	6.20359112e-001	5.83293377e-001	4.06414144e-001	2.11337634e-001	2.19774862e-002	2.29436414e-002	
