PROSOFT : ProSoft 7.4
CRUISE-ID : mc497
OPERATOR : gianluca
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 6/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Aug 21 10:30:59 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 16:33:02
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.34594
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
2.00000000	0.03701632	0.03260117	0.02520608	0.02278655	0.02249152	0.03188037	0.04426053	0.05730464	0.11792202	0.23475861	0.25909118	0.20652358	0.15056076	
3.00000000	0.05484825	0.04980647	0.04115868	0.03845152	0.03768587	0.04863972	0.06195212	0.07640865	0.13719342	0.24492616	0.26650985	0.23205809	0.16066132	
4.00000000	0.06469794	0.05934691	0.04974042	0.04623078	0.04506549	0.05652207	0.07056030	0.08549543	0.14607542	0.24485480	0.26050841	0.23683723	0.15881050	
5.00000000	0.07407028	0.06779795	0.05647733	0.05153407	0.04957400	0.06106851	0.07499542	0.09023726	0.15143995	0.23668864	0.23714174	0.22189046	0.14210030	
6.00000000	0.07600223	0.06934406	0.05716439	0.05081004	0.04821539	0.05832167	0.07079661	0.08452144	0.13969612	0.20149569	0.18432130	0.16940601	0.11040200	
7.00000000	0.07466799	0.06782715	0.05527087	0.04795012	0.04477516	0.05301499	0.06340024	0.07508815	0.12327514	0.16620661	0.13676558	0.11357196	0.08337852	
8.00000000	0.08062621	0.07361135	0.06032071	0.05226622	0.04844894	0.05536538	0.06411334	0.07410815	0.11343115	0.13698016	0.10310073	0.07798271	0.07160773	
9.00000000	0.08785531	0.08056933	0.06617479	0.05719373	0.05292597	0.05944776	0.06810191	0.07756657	0.11179756	0.11918049	0.08553732	0.06517026	0.06990129	
10.00000000	0.08830655	0.08054936	0.06508572	0.05544824	0.05087291	0.05717141	0.06579317	0.07518873	0.10753193	0.10417072	0.06946498	0.05048143	0.06280707	
11.00000000	0.08788920	0.07956814	0.06320481	0.05300269	0.04828649	0.05472894	0.06349414	0.07317047	0.10487718	0.09359478	0.05705917	0.03836636	0.05614925	
12.00000000	0.09145681	0.08278550	0.06576796	0.05521732	0.05033522	0.05700455	0.06583032	0.07560540	0.10472296	0.08707844	0.05271013	0.03758372	0.05666587	
13.00000000	0.09592277	0.08741718	0.07051950	0.06006899	0.05512056	0.06194471	0.07110926	0.08095511	0.10686687	0.08473639	0.05974262	0.05175983	0.06508143	
14.00000000	0.09688076	0.08867523	0.07224921	0.06197864	0.05703106	0.06403297	0.07381263	0.08417027	0.10994503	0.08606812	0.06999957	0.06502929	0.07194468	
15.00000000	0.09512506	0.08726433	0.07162108	0.06156599	0.05669248	0.06394708	0.07414017	0.08499711	0.11100285	0.08666518	0.07665767	0.06801421	0.07387818	
16.00000000	0.09652684	0.08873652	0.07342203	0.06300790	0.05805520	0.06531827	0.07560980	0.08640636	0.11127135	0.08604314	0.07609565	0.05829827	0.07177544	
17.00000000	0.10159211	0.09329037	0.07668961	0.06521521	0.05962372	0.06664389	0.07643564	0.08689293	0.10939338	0.08407537	0.07337332	0.05102617	0.07044617	
18.00000000	0.10438977	0.09569813	0.07793816	0.06568345	0.05952932	0.06585318	0.07476010	0.08429235	0.10311583	0.07704309	0.06996871	0.05374624	0.07173679	
19.00000000	0.10549575	0.09667967	0.07781753	0.06509191	0.05831628	0.06389497	0.07206441	0.08094665	0.09725935	0.07187531	0.06667482	0.05687890	0.07296925	
20.00000000	0.10200483	0.09345502	0.07433520	0.06120370	0.05418069	0.05887976	0.06643661	0.07427701	0.08856682	0.06639815	0.05903524	0.05062273	0.06971576	
21.00000000	0.10028727	0.09189946	0.07255773	0.05889586	0.05156823	0.05541008	0.06216865	0.06895135	0.08135193	0.06212309	0.04178081	0.02032604	0.05843718	
22.00000000	0.10106326	0.09258783	0.07250455	0.05823495	0.05042259	0.05363743	0.05965518	0.06577520	0.07722743	0.06043462	0.01854514	-0.02527484	0.03957799	
23.00000000	0.10388532	0.09503506	0.07380109	0.05882924	0.05049393	0.05301047	0.05802791	0.06320774	0.07362354	0.05767208	-0.01166503	-0.07778386	0.01363840	
24.00000000	0.10911711	0.09969184	0.07687061	0.06124092	0.05243328	0.05484228	0.05926747	0.06428930	0.07440988	0.05924262	-0.02578947	-0.10004223	-0.00140409	
25.00000000	0.11157291	0.10188249	0.07845424	0.06268657	0.05412631	0.05718238	0.06205475	0.06741902	0.07703161	0.06346041	-0.01045644	-0.06918229	0.00782367	
26.00000000	0.11310889	0.10336988	0.07996147	0.06446392	0.05644956	0.06057716	0.06659524	0.07278750	0.08183022	0.06993211	0.02069269	-0.01387909	0.03171287	
27.00000000	0.11164160	0.10192443	0.07893567	0.06401893	0.05655329	0.06148148	0.06832744	0.07514430	0.08347681	0.07274846	0.04559830	0.02753689	0.04985397	
28.00000000	0.11164534	0.10199177	0.07929217	0.06482094	0.05784375	0.06355980	0.07137050	0.07871386	0.08546312	0.07584602	0.06478108	0.05559858	0.06448201	
29.00000000	0.11223500	0.10248801	0.07966262	0.06535759	0.05866059	0.06493668	0.07337097	0.08095368	0.08615656	0.07667913	0.07534086	0.07036593	0.07273822	
30.00000000	0.11418241	0.10428155	0.08132552	0.06702702	0.06059873	0.06758669	0.07682261	0.08480763	0.08785585	0.07715193	0.08583314	0.08622043	0.08180879	
31.00000000	0.11583028	0.10587391	0.08301452	0.06879021	0.06264174	0.07026063	0.08046641	0.08875038	0.08879312	0.07699484	0.09172205	0.09749562	0.08886917	
32.00000000	0.11567790	0.10577105	0.08316574	0.06902839	0.06292663	0.07072989	0.08129012	0.08952117	0.08653263	0.07396975	0.08407711	0.08603291	0.08294901	
33.00000000	0.11646240	0.10679813	0.08469753	0.07067125	0.06468929	0.07295217	0.08431079	0.09288778	0.08699211	0.07503164	0.08282139	0.08354505	0.08191360	
34.00000000	0.11634411	0.10692731	0.08522421	0.07128882	0.06545236	0.07413137	0.08632939	0.09527055	0.08711182	0.07622709	0.08968062	0.09223415	0.08582622	
35.00000000	0.11476400	0.10542579	0.08392100	0.06997988	0.06425442	0.07299865	0.08569998	0.09493108	0.08549540	0.07436099	0.09513943	0.10062135	0.08737030	
36.00000000	0.11310473	0.10368558	0.08218815	0.06824222	0.06260084	0.07141334	0.08447003	0.09416120	0.08459383	0.07387213	0.10364566	0.11577599	0.09249704	
