,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,8.5623510E-01,6.9578910E-01,5.5381310E-01,4.3400450E-01,3.3653110E-01,2.5781000E-01,1.9252660E-01,1.3985480E-01,9.7984870E-02,6.4506910E-02,3.8065940E-02,1.9187650E-02,8.7115740E-03,3.7357710E-03,1.9760430E-03,1.1711540E-03,7.5651740E-04,5.4286860E-04,4.1515340E-04,3.2164520E-04,2.5013030E-04,1.9490350E-04,1.5244730E-04,1.1949690E-04,9.3343200E-05,7.3030050E-05,5.7134210E-05,4.4809770E-05,3.5193850E-05,2.7598440E-05,2.1676820E-05,1.7002490E-05,1.3358600E-05,1.0490610E-05,8.2355990E-06,6.4510930E-06,5.0755800E-06,3.9968840E-06,3.1515440E-06,2.4785130E-06,1.9501370E-06
357.5,7.6536760E-01,6.3627000E-01,5.1881880E-01,4.1684670E-01,3.3147550E-01,2.6052140E-01,1.9988470E-01,1.4944970E-01,1.0800342E-01,7.3647230E-02,4.5363190E-02,2.4138730E-02,1.1653377E-02,5.3370830E-03,2.9675330E-03,1.8338620E-03,1.2277850E-03,9.0623500E-04,7.0958650E-04,5.6234250E-04,4.4726310E-04,3.5628810E-04,2.8488250E-04,2.2822090E-04,1.8227950E-04,1.4578400E-04,1.1657480E-04,9.3439700E-05,7.5010770E-05,6.0108330E-05,4.8219220E-05,3.8647210E-05,3.1024410E-05,2.4898280E-05,1.9972430E-05,1.5989210E-05,1.2855500E-05,1.0342790E-05,8.3327300E-06,6.6955770E-06,5.3833010E-06
362.5,8.6345900E-01,7.3124470E-01,6.0816200E-01,4.9867340E-01,4.0476670E-01,3.2482860E-01,2.5468800E-01,1.9477480E-01,1.4413700E-01,1.0088900E-01,6.4069070E-02,3.5376710E-02,1.7797010E-02,8.5155800E-03,4.9035630E-03,3.1243080E-03,2.1496460E-03,1.6238220E-03,1.2974750E-03,1.0486990E-03,8.5033900E-04,6.9053000E-04,5.6275420E-04,4.5936520E-04,3.7382290E-04,3.0460560E-04,2.4818980E-04,2.0267860E-04,1.6573810E-04,1.3529200E-04,1.1057120E-04,9.0288000E-05,7.3842290E-05,6.0377920E-05,4.9337850E-05,4.0240730E-05,3.2952590E-05,2.7006100E-05,2.2159020E-05,1.8136400E-05,1.4853010E-05
367.5,1.0225620E+00,8.7954200E-01,7.4376080E-01,6.2039580E-01,5.1238680E-01,4.1855630E-01,3.3405570E-01,2.6015790E-01,1.9615600E-01,1.4004610E-01,9.0894440E-02,5.1457350E-02,2.6600010E-02,1.3098490E-02,7.7305760E-03,5.0386910E-03,3.5423470E-03,2.7289080E-03,2.2201510E-03,1.8260780E-03,1.5065890E-03,1.2448350E-03,1.0318150E-03,8.5646700E-04,7.0885240E-04,5.8743680E-04,4.8665540E-04,4.0406640E-04,3.3591910E-04,2.7875740E-04,2.3158690E-04,1.9219420E-04,1.5978340E-04,1.3276770E-04,1.1031600E-04,9.1459000E-05,7.6134500E-05,6.3427010E-05,5.2892760E-05,4.3997210E-05,3.6622400E-05
372.5,8.8407300E-01,7.6604380E-01,6.5307410E-01,5.4942120E-01,4.5774400E-01,3.7727200E-01,3.0394050E-01,2.3902780E-01,1.8208520E-01,1.3145970E-01,8.6408720E-02,4.9642390E-02,2.6069870E-02,1.3044520E-02,7.7979510E-03,5.1406930E-03,3.6512200E-03,2.8383380E-03,2.3298670E-03,1.9319920E-03,1.6069980E-03,1.3386230E-03,1.1186320E-03,9.3621800E-04,7.8117400E-04,6.5259060E-04,5.4504460E-04,4.5632750E-04,3.8241670E-04,3.2007590E-04,2.6812680E-04,2.2438790E-04,1.8807780E-04,1.5757110E-04,1.3195210E-04,1.1028890E-04,9.2555500E-05,7.7721900E-05,6.5345790E-05,5.4795920E-05,4.5980190E-05
377.5,9.7841300E-01,8.4923610E-01,7.2560810E-01,6.1200120E-01,5.1131660E-01,4.2257900E-01,3.4157420E-01,2.6957110E-01,2.0618790E-01,1.4950100E-01,9.8764000E-02,5.7059590E-02,3.0127670E-02,1.5143140E-02,9.0780420E-03,5.9977880E-03,4.2666410E-03,3.3208410E-03,2.7300480E-03,2.2687460E-03,1.8908580E-03,1.5782300E-03,1.3217900E-03,1.1086850E-03,9.2708200E-04,7.7619690E-04,6.4971680E-04,5.4518480E-04,4.5778600E-04,3.8402350E-04,3.2235870E-04,2.7041380E-04,2.2715860E-04,1.9071470E-04,1.6007820E-04,1.3410800E-04,1.1279410E-04,9.4929800E-05,7.9997800E-05,6.7243330E-05,5.6555900E-05
382.5,8.1070240E-01,7.0902770E-01,6.1085690E-01,5.1973250E-01,4.3807830E-01,3.6530400E-01,2.9798650E-01,2.3737500E-01,1.8330330E-01,1.3424210E-01,8.9632180E-02,5.2386010E-02,2.7997020E-02,1.4244370E-02,8.6312470E-03,5.7609240E-03,4.1386140E-03,3.2517420E-03,2.6974090E-03,2.2619110E-03,1.9022230E-03,1.6015460E-03,1.3527170E-03,1.1445400E-03,9.6542100E-04,8.1529500E-04,6.8836740E-04,5.8250120E-04,4.9351230E-04,4.1741340E-04,3.5352540E-04,2.9905950E-04,2.5339850E-04,2.1462560E-04,1.8164960E-04,1.5348160E-04,1.3018480E-04,1.1051350E-04,9.3926000E-05,7.9623700E-05,6.7539910E-05
387.5,8.8739600E-01,7.8394580E-01,6.8276690E-01,5.8741550E-01,5.0077970E-01,4.2241480E-01,3.4864730E-01,2.8107770E-01,2.1973490E-01,1.6300340E-01,1.1035527E-01,6.5503770E-02,3.5591080E-02,1.8422220E-02,1.1334690E-02,7.6754740E-03,5.5916950E-03,4.4520570E-03,3.7401600E-03,3.1752160E-03,2.7018970E-03,2.3011440E-03,1.9662180E-03,1.6826650E-03,1.4356510E-03,1.2262610E-03,1.0471600E-03,8.9640100E-04,7.6802100E-04,6.5689790E-04,5.6229040E-04,4.8104170E-04,4.1214140E-04,3.5301350E-04,3.0218990E-04,2.5818890E-04,2.2146810E-04,1.9009120E-04,1.6335330E-04,1.4002570E-04,1.2010710E-04
392.5,9.5518100E-01,8.4870130E-01,7.4385470E-01,6.4422870E-01,5.5299700E-01,4.6977040E-01,3.9060660E-01,3.1735950E-01,2.5013020E-01,1.8725040E-01,1.2810760E-01,7.6983030E-02,4.2389340E-02,2.2240030E-02,1.3830300E-02,9.4531790E-03,6.9441290E-03,5.5684610E-03,4.7082580E-03,4.0217470E-03,3.4445960E-03,2.9526800E-03,2.5396850E-03,2.1874190E-03,1.8782850E-03,1.6145470E-03,1.3874890E-03,1.1949450E-03,1.0302820E-03,8.8699300E-04,7.6428500E-04,6.5793830E-04,5.6725530E-04,4.8879800E-04,4.2102980E-04,3.6201240E-04,3.1246950E-04,2.6990520E-04,2.3342060E-04,2.0133300E-04,1.7376540E-04
397.5,1.1702140E+00,1.0475770E+00,9.2532200E-01,8.0778620E-01,6.9896240E-01,5.9853160E-01,5.0173360E-01,4.1107510E-01,3.2684640E-01,2.4692890E-01,1.7065090E-01,1.0375755E-01,5.7867490E-02,3.0772370E-02,1.9360610E-02,1.3377150E-02,9.9273700E-03,8.0360900E-03,6.8561450E-03,5.9065440E-03,5.1011760E-03,4.4099520E-03,3.8252790E-03,3.3217690E-03,2.8753830E-03,2.4918400E-03,2.1589140E-03,1.8745860E-03,1.6300830E-03,1.4144440E-03,1.2284170E-03,1.0659550E-03,9.2638300E-04,8.0468000E-04,6.9866500E-04,6.0552660E-04,5.2682960E-04,4.5861930E-04,3.9975580E-04,3.4757090E-04,3.0234130E-04
