,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,6.4115100E-01,5.0337200E-01,3.9222000E-01,3.0283300E-01,2.3244300E-01,1.7703200E-01,1.3169300E-01,9.5415800E-02,6.6858700E-02,4.4100200E-02,2.6093500E-02,1.3163800E-02,5.9693100E-03,2.5281300E-03,1.3207300E-03,7.7381300E-04,4.9246500E-04,3.4947900E-04,2.6675200E-04,2.0677900E-04,1.6092000E-04,1.2547600E-04,9.8222500E-05,7.7113200E-05,6.0268200E-05,4.7178200E-05,3.6922800E-05,2.8970300E-05,2.2770800E-05,1.7863500E-05,1.4036400E-05,1.1012000E-05,8.6547100E-06,6.7999400E-06,5.3404000E-06,4.1810900E-06,3.2895800E-06,2.5904900E-06,2.0441900E-06,1.6077600E-06,1.2645600E-06
357.5,5.6908200E-01,4.5726300E-01,3.6486600E-01,2.8866900E-01,2.2710300E-01,1.7734900E-01,1.3546600E-01,1.0096700E-01,7.2928700E-02,4.9787400E-02,3.0719000E-02,1.6341900E-02,7.8716100E-03,3.5577100E-03,1.9529800E-03,1.1926100E-03,7.8657200E-04,5.7425500E-04,4.4878500E-04,3.5581900E-04,2.8318000E-04,2.2571700E-04,1.8062400E-04,1.4491300E-04,1.1579900E-04,9.2660300E-05,7.4119000E-05,5.9433500E-05,4.7746300E-05,3.8275200E-05,3.0716800E-05,2.4624100E-05,1.9773700E-05,1.5876500E-05,1.2740100E-05,1.0194100E-05,8.1960200E-06,6.5941200E-06,5.3165300E-06,4.2723100E-06,3.4337900E-06
362.5,6.3835000E-01,5.2277700E-01,4.2538400E-01,3.4335000E-01,2.7562700E-01,2.1970300E-01,1.7144300E-01,1.3066000E-01,9.6610300E-02,6.7674600E-02,4.3027300E-02,2.3736600E-02,1.1906300E-02,5.6185200E-03,3.1923300E-03,2.0085000E-03,1.3604000E-03,1.0158700E-03,8.0978800E-04,6.5459300E-04,5.3098400E-04,4.3137200E-04,3.5176400E-04,2.8752400E-04,2.3407500E-04,1.9081200E-04,1.5551100E-04,1.2703600E-04,1.0395400E-04,8.4887400E-05,6.9400600E-05,5.6679700E-05,4.6368300E-05,3.7930200E-05,3.1004500E-05,2.5274200E-05,2.0695600E-05,1.6960600E-05,1.3926800E-05,1.1399000E-05,9.3318400E-06
367.5,7.5247300E-01,6.2624500E-01,5.1809200E-01,4.2531500E-01,3.4732400E-01,2.8177100E-01,2.2379500E-01,1.7367400E-01,1.3083200E-01,9.3472700E-02,6.0729100E-02,3.4339500E-02,1.7691900E-02,8.5873600E-03,4.9970700E-03,3.2129700E-03,2.2208500E-03,1.6892700E-03,1.3699500E-03,1.1263000E-03,9.2919900E-04,7.6783500E-04,6.3663800E-04,5.2907800E-04,4.3799900E-04,3.6306800E-04,3.0082300E-04,2.4981800E-04,2.0780400E-04,1.7248900E-04,1.4334500E-04,1.1897500E-04,9.8932900E-05,8.2237400E-05,6.8349500E-05,5.6631300E-05,4.7135800E-05,3.9265100E-05,3.2767300E-05,2.7256500E-05,2.2678300E-05
372.5,6.5207000E-01,5.4700100E-01,4.5626700E-01,3.7773600E-01,3.1111900E-01,2.5460300E-01,2.0405200E-01,1.5984300E-01,1.2159400E-01,8.7791100E-02,5.7718700E-02,3.3094200E-02,1.7311000E-02,8.5373000E-03,5.0324900E-03,3.2729600E-03,2.2860000E-03,1.7549400E-03,1.4359100E-03,1.1901400E-03,9.8987500E-04,8.2460000E-04,6.8931200E-04,5.7756200E-04,4.8203300E-04,4.0278300E-04,3.3644800E-04,2.8173900E-04,2.3623700E-04,1.9777500E-04,1.6572200E-04,1.3870300E-04,1.1628100E-04,9.7456500E-05,8.1632300E-05,6.8189600E-05,5.7218600E-05,4.8043700E-05,4.0421500E-05,3.3895700E-05,2.8430900E-05
377.5,7.2761500E-01,6.1172600E-01,5.1147200E-01,4.2450300E-01,3.5055800E-01,2.8754500E-01,2.3110000E-01,1.8155600E-01,1.3856100E-01,1.0036900E-01,6.6243000E-02,3.8153700E-02,2.0052300E-02,9.9366800E-03,5.8781600E-03,3.8345500E-03,2.6854800E-03,2.0664100E-03,1.6942800E-03,1.4077000E-03,1.1734900E-03,9.7969200E-04,8.2087700E-04,6.8935200E-04,5.7661000E-04,4.8291300E-04,4.0430800E-04,3.3934700E-04,2.8512200E-04,2.3924700E-04,2.0089300E-04,1.6854400E-04,1.4162100E-04,1.1894600E-04,9.9866500E-05,8.3618300E-05,7.0323400E-05,5.9184400E-05,4.9910600E-05,4.1953100E-05,3.5272100E-05
382.5,6.0370300E-01,5.1168300E-01,4.3142900E-01,3.6119700E-01,3.0088000E-01,2.4897100E-01,2.0189400E-01,1.6005900E-01,1.2329000E-01,9.0168900E-02,6.0118600E-02,3.5011100E-02,1.8616900E-02,9.3370600E-03,5.5822100E-03,3.6778100E-03,2.6003400E-03,2.0191000E-03,1.6699400E-03,1.3997400E-03,1.1771100E-03,9.9113300E-04,8.3742800E-04,7.0933200E-04,5.9845800E-04,5.0551000E-04,4.2688300E-04,3.6130600E-04,3.0628500E-04,2.5912300E-04,2.1952000E-04,1.8572000E-04,1.5740000E-04,1.3336500E-04,1.1290100E-04,9.5340000E-05,8.0859400E-05,6.8636700E-05,5.8373600E-05,4.9485400E-05,4.1959400E-05
387.5,6.5932700E-01,5.6478700E-01,4.8143800E-01,4.0754900E-01,3.4334400E-01,2.8737500E-01,2.3577900E-01,1.8916000E-01,1.4749400E-01,1.0925100E-01,7.3842600E-02,4.3661300E-02,2.3594900E-02,1.2034300E-02,7.3014300E-03,4.8767000E-03,3.4930300E-03,2.7455300E-03,2.2980200E-03,1.9490800E-03,1.6578900E-03,1.4117100E-03,1.2063700E-03,1.0334100E-03,8.8174800E-04,7.5322900E-04,6.4323100E-04,5.5067100E-04,4.7202300E-04,4.0379700E-04,3.4572900E-04,2.9577000E-04,2.5344700E-04,2.1715500E-04,1.8593200E-04,1.5875900E-04,1.3615400E-04,1.1684900E-04,1.0047700E-04,8.6126400E-05,7.3842700E-05
392.5,7.1080800E-01,6.1270600E-01,5.2567200E-01,4.4794700E-01,3.7993500E-01,3.2019600E-01,2.6458100E-01,2.1385600E-01,1.6803800E-01,1.2553800E-01,8.5685400E-02,5.1254500E-02,2.8054100E-02,1.4502100E-02,8.8937300E-03,5.9962700E-03,4.3314900E-03,3.4295600E-03,2.8890700E-03,2.4655100E-03,2.1107400E-03,1.8090100E-03,1.5559800E-03,1.3413700E-03,1.1518500E-03,9.9022200E-04,8.5095700E-04,7.3296000E-04,6.3223100E-04,5.4438300E-04,4.6916400E-04,4.0390300E-04,3.4827500E-04,3.0020100E-04,2.5863400E-04,2.2223700E-04,1.9178800E-04,1.6564000E-04,1.4334000E-04,1.2363000E-04,1.0665400E-04
397.5,8.6484600E-01,7.5158300E-01,6.5017300E-01,5.5867300E-01,4.7784700E-01,4.0611000E-01,3.3845600E-01,2.7596400E-01,2.1882000E-01,1.6501900E-01,1.1379400E-01,6.8874100E-02,3.8181100E-02,2.0003500E-02,1.2409000E-02,8.4542300E-03,6.1667700E-03,4.9264900E-03,4.1857300E-03,3.6017500E-03,3.1088100E-03,2.6864400E-03,2.3302300E-03,2.0250900E-03,1.7529300E-03,1.5191500E-03,1.3161100E-03,1.1428200E-03,9.9417600E-04,8.6275200E-04,7.4941400E-04,6.5032400E-04,5.6522600E-04,4.9110300E-04,4.2648900E-04,3.6937800E-04,3.2131500E-04,2.7967700E-04,2.4392900E-04,2.1208000E-04,1.8439600E-04
