,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,8.5988310E-01,7.0446380E-01,5.6579410E-01,4.4750690E-01,3.3968150E-01,2.5384910E-01,1.8155920E-01,1.2230470E-01,7.7595860E-02,4.7490380E-02,2.8386990E-02,1.7684350E-02,1.0911798E-02,6.9995990E-03,4.5762550E-03,3.0792820E-03,2.1493160E-03,1.5520180E-03,1.1434990E-03,8.5893800E-04,6.5694410E-04,5.0709120E-04,3.9341350E-04,3.0814210E-04,2.4322370E-04,1.9328590E-04,1.5444880E-04,1.2400400E-04,9.9899000E-05,8.0933800E-05,6.5712330E-05,5.3579470E-05,4.3849110E-05,3.5923410E-05,2.9481850E-05,2.4268800E-05,2.0017190E-05,1.6527850E-05,1.3645980E-05,1.1264960E-05,9.3098000E-06
357.5,7.6848570E-01,6.4346770E-01,5.2889260E-01,4.2841800E-01,3.3404550E-01,2.5655500E-01,1.8918350E-01,1.3194960E-01,8.7034940E-02,5.5497510E-02,3.4603460E-02,2.2406100E-02,1.4377160E-02,9.5615240E-03,6.4720190E-03,4.4996610E-03,3.2368510E-03,2.4028620E-03,1.8175140E-03,1.3996630E-03,1.0961040E-03,8.6604800E-04,6.8731560E-04,5.5037650E-04,4.4390160E-04,3.6030760E-04,2.9396850E-04,2.4093630E-04,1.9803610E-04,1.6364530E-04,1.3551300E-04,1.1265900E-04,9.3971600E-05,7.8462300E-05,6.5612150E-05,5.5014560E-05,4.6219260E-05,3.8866410E-05,3.2686800E-05,2.7484310E-05,2.3133910E-05
362.5,8.6691000E-01,7.3901890E-01,6.1913240E-01,5.1142450E-01,4.0738440E-01,3.1981450E-01,2.4146960E-01,1.7286690E-01,1.1731270E-01,7.7061590E-02,4.9538140E-02,3.3002860E-02,2.1794030E-02,1.4891800E-02,1.0348700E-02,7.3785040E-03,5.4355320E-03,4.1267620E-03,3.1898010E-03,2.5083680E-03,2.0044270E-03,1.6148440E-03,1.3070870E-03,1.0669720E-03,8.7696600E-04,7.2515820E-04,6.0262810E-04,5.0287960E-04,4.2086930E-04,3.5403890E-04,2.9842410E-04,2.5247660E-04,2.1428130E-04,1.8203180E-04,1.5485280E-04,1.3213180E-04,1.1291200E-04,9.6577300E-05,8.2599100E-05,7.0637200E-05,6.0471530E-05
367.5,1.0267050E+00,8.8863600E-01,7.5663150E-01,6.3544220E-01,5.1507500E-01,4.1149340E-01,3.1652410E-01,2.3113000E-01,1.6020110E-01,1.0754540E-01,7.0683640E-02,4.8101900E-02,3.2452630E-02,2.2637690E-02,1.6055140E-02,1.1678070E-02,8.7716900E-03,6.7861280E-03,5.3430530E-03,4.2785020E-03,3.4802760E-03,2.8535570E-03,2.3501910E-03,1.9517820E-03,1.6318780E-03,1.3723080E-03,1.1596180E-03,9.8408300E-04,8.3762400E-04,7.1628300E-04,6.1366660E-04,5.2771870E-04,4.5504350E-04,3.9284750E-04,3.3957080E-04,2.9429870E-04,2.5553010E-04,2.2201470E-04,1.9285780E-04,1.6750720E-04,1.4557640E-04
372.5,8.8750400E-01,7.7370060E-01,6.6402080E-01,5.6236530E-01,4.6003460E-01,3.7114370E-01,2.8841230E-01,2.1293990E-01,1.4933640E-01,1.0146800E-01,6.7498130E-02,4.6455190E-02,3.1695730E-02,2.2347440E-02,1.6014640E-02,1.1765280E-02,8.9216600E-03,6.9654430E-03,5.5334530E-03,4.4697260E-03,3.6667340E-03,3.0319160E-03,2.5177370E-03,2.1082580E-03,1.7771580E-03,1.5067300E-03,1.2835350E-03,1.0979770E-03,9.4175200E-04,8.1164600E-04,7.0094900E-04,6.0750130E-04,5.2809890E-04,4.5940630E-04,4.0047250E-04,3.4983920E-04,3.0606570E-04,2.6796950E-04,2.3457050E-04,2.0528670E-04,1.7988620E-04
377.5,9.8199100E-01,8.5753900E-01,7.3764780E-01,6.2644050E-01,5.1408330E-01,4.1614700E-01,3.2461260E-01,2.4067720E-01,1.6951350E-01,1.1564430E-01,7.7220170E-02,5.3323330E-02,3.6494070E-02,2.5803000E-02,1.8539520E-02,1.3651890E-02,1.0374080E-02,8.1156610E-03,6.4601330E-03,5.2284760E-03,4.2977300E-03,3.5605750E-03,2.9626980E-03,2.4857430E-03,2.0994900E-03,1.7837160E-03,1.5222030E-03,1.3048160E-03,1.1213880E-03,9.6853900E-04,8.3789000E-04,7.2758800E-04,6.3371040E-04,5.5239830E-04,4.8216500E-04,4.2196530E-04,3.6992700E-04,3.2454100E-04,2.8467310E-04,2.4966370E-04,2.1922910E-04
382.5,8.1362030E-01,7.1584380E-01,6.2081000E-01,5.3177200E-01,4.4030700E-01,3.5969420E-01,2.8326070E-01,2.1211670E-01,1.5094500E-01,1.0405656E-01,7.0209800E-02,4.8973810E-02,3.3854310E-02,2.4172120E-02,1.7536390E-02,1.3037620E-02,1.0000840E-02,7.8970630E-03,6.3442960E-03,5.1818320E-03,4.2984540E-03,3.5936820E-03,3.0176390E-03,2.5546980E-03,2.1771060E-03,1.8658080E-03,1.6067630E-03,1.3894240E-03,1.2046780E-03,1.0495930E-03,9.1627300E-04,8.0263100E-04,7.0520600E-04,6.2006670E-04,5.4639530E-04,4.8240620E-04,4.2653510E-04,3.7741160E-04,3.3390840E-04,2.9532520E-04,2.6136600E-04
387.5,8.9058300E-01,7.9133110E-01,6.9358810E-01,6.0056460E-01,5.0297350E-01,4.1577970E-01,3.3144190E-01,2.5140810E-01,1.8134030E-01,1.2676490E-01,8.6744230E-02,6.1342330E-02,4.2989920E-02,3.1108170E-02,2.2869610E-02,1.7226420E-02,1.3385480E-02,1.0704270E-02,8.7070000E-03,7.1998830E-03,6.0454820E-03,5.1156760E-03,4.3476600E-03,3.7246210E-03,3.2117650E-03,2.7851720E-03,2.4268010E-03,2.1229600E-03,1.8621540E-03,1.6411220E-03,1.4492700E-03,1.2841660E-03,1.1410420E-03,1.0146110E-03,9.0401500E-04,8.0711800E-04,7.2149100E-04,6.4544700E-04,5.7731960E-04,5.1621970E-04,4.6191720E-04
392.5,9.5848100E-01,8.5645700E-01,7.5531360E-01,6.5836170E-01,5.5535500E-01,4.6246900E-01,3.7166590E-01,2.8445020E-01,2.0715930E-01,1.4624840E-01,1.0107903E-01,7.2144850E-02,5.1029620E-02,3.7248800E-02,2.7615640E-02,2.0970310E-02,1.6419820E-02,1.3227970E-02,1.0837150E-02,9.0237500E-03,7.6282520E-03,6.4977170E-03,5.5579610E-03,4.7925800E-03,4.1593610E-03,3.6280290E-03,3.1813930E-03,2.8005170E-03,2.4719430E-03,2.1919440E-03,1.9474340E-03,1.7359740E-03,1.5518320E-03,1.3882210E-03,1.2434180E-03,1.1164520E-03,1.0040690E-03,9.0349000E-04,8.1283300E-04,7.3112200E-04,6.5822200E-04
397.5,1.1744510E+00,1.0571530E+00,9.3940300E-01,8.2499880E-01,7.0145370E-01,5.8889590E-01,4.7730250E-01,3.6861690E-01,2.7107150E-01,1.9331560E-01,1.3499530E-01,9.7328380E-02,6.9546890E-02,5.1268380E-02,3.8382570E-02,2.9427650E-02,2.3258900E-02,1.8908060E-02,1.5630350E-02,1.3130070E-02,1.1196180E-02,9.6194200E-03,8.2977900E-03,7.2160200E-03,6.3155510E-03,5.5576690E-03,4.9128830E-03,4.3605640E-03,3.8804420E-03,3.4688410E-03,3.1068310E-03,2.7918320E-03,2.5155680E-03,2.2682390E-03,2.0477430E-03,1.8536320E-03,1.6799960E-03,1.5238110E-03,1.3815890E-03,1.2522870E-03,1.1362530E-03
