,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
352.5,6.4165400E-01,5.0943700E-01,4.0170000E-01,3.1463900E-01,2.3647000E-01,1.7578500E-01,1.2519500E-01,8.3983600E-02,5.2963100E-02,3.2210600E-02,1.9108600E-02,1.1855200E-02,7.2667700E-03,4.6415600E-03,3.0191900E-03,2.0198100E-03,1.4015500E-03,1.0081100E-03,7.4023900E-04,5.5442300E-04,4.2347000E-04,3.2657500E-04,2.5307700E-04,1.9800500E-04,1.5614600E-04,1.2405400E-04,9.9087300E-05,7.9563700E-05,6.4068100E-05,5.1924100E-05,4.2155100E-05,3.4387100E-05,2.8166200E-05,2.3091900E-05,1.8959200E-05,1.5621500E-05,1.2898400E-05,1.0662300E-05,8.8115500E-06,7.2792500E-06,6.0198500E-06
357.5,5.6950600E-01,4.6236500E-01,3.7302400E-01,2.9907700E-01,2.3073600E-01,1.7615100E-01,1.2923000E-01,8.9663800E-02,5.8725900E-02,3.7175800E-02,2.2987700E-02,1.4814900E-02,9.4393700E-03,6.2483300E-03,4.2064000E-03,2.9067700E-03,2.0784200E-03,1.5366000E-03,1.1581500E-03,8.8920200E-04,6.9531900E-04,5.4877600E-04,4.3495900E-04,3.4787300E-04,2.8028900E-04,2.2741200E-04,1.8544500E-04,1.5198800E-04,1.2486100E-04,1.0320500E-04,8.5450200E-05,7.1064700E-05,5.9322600E-05,4.9564100E-05,4.1463000E-05,3.4797500E-05,2.9264300E-05,2.4636300E-05,2.0737900E-05,1.7449300E-05,1.4696800E-05
362.5,6.3881000E-01,5.2834700E-01,4.3445400E-01,3.5513100E-01,2.7981000E-01,2.1825800E-01,1.6386900E-01,1.1662500E-01,7.8531700E-02,5.1178600E-02,3.2607000E-02,2.1609600E-02,1.4163400E-02,9.6280300E-03,6.6512600E-03,4.7112300E-03,3.4481300E-03,2.6059600E-03,2.0062400E-03,1.5722300E-03,1.2539800E-03,1.0087900E-03,8.1519600E-04,6.6440200E-04,5.4534700E-04,4.5062800E-04,3.7418400E-04,3.1216300E-04,2.6104900E-04,2.1960400E-04,1.8503800E-04,1.5657100E-04,1.3296400E-04,1.1300800E-04,9.6158700E-05,8.2110500E-05,7.0230700E-05,6.0132600E-05,5.1472200E-05,4.4045500E-05,3.7728300E-05
367.5,7.5301500E-01,6.3277800E-01,5.2888800E-01,4.3955900E-01,3.5241900E-01,2.7968300E-01,2.1388800E-01,1.5522300E-01,1.0671000E-01,7.1033900E-02,4.6248200E-02,3.1292500E-02,2.0943200E-02,1.4526200E-02,1.0235300E-02,7.3910000E-03,5.5114300E-03,4.2413100E-03,3.3236200E-03,2.6504300E-03,2.1504900E-03,1.7596700E-03,1.4460600E-03,1.1983400E-03,1.0000200E-03,8.3995100E-04,7.0884800E-04,6.0111500E-04,5.1102000E-04,4.3682900E-04,3.7396100E-04,3.2152200E-04,2.7733000E-04,2.3948400E-04,2.0700300E-04,1.7949600E-04,1.5596200E-04,1.3562600E-04,1.1790000E-04,1.0245500E-04,8.9082500E-05
372.5,6.5251300E-01,5.5260400E-01,4.6561400E-01,3.9018000E-01,3.1561300E-01,2.5285400E-01,1.9524400E-01,1.4317200E-01,9.9526200E-02,6.7021900E-02,4.4149900E-02,3.0203500E-02,2.0440000E-02,1.4327400E-02,1.0199500E-02,7.4385900E-03,5.5997900E-03,4.3485800E-03,3.4380500E-03,2.7654900E-03,2.2627300E-03,1.8670200E-03,1.5468200E-03,1.2923600E-03,1.0872400E-03,9.2060200E-04,7.8314800E-04,6.6938200E-04,5.7339200E-04,4.9397300E-04,4.2625100E-04,3.6934000E-04,3.2113300E-04,2.7941400E-04,2.4355200E-04,2.1285800E-04,1.8635200E-04,1.6329600E-04,1.4304400E-04,1.2525000E-04,1.0980100E-04
377.5,7.2807400E-01,6.1793700E-01,5.2188000E-01,4.3841100E-01,3.5560100E-01,2.8567800E-01,2.2126500E-01,1.6279800E-01,1.1357500E-01,7.6753400E-02,5.0740900E-02,3.4824900E-02,2.3643200E-02,1.6621800E-02,1.1867000E-02,8.6784300E-03,6.5499700E-03,5.0988700E-03,4.0409200E-03,3.2580200E-03,2.6718900E-03,2.2095000E-03,1.8347000E-03,1.5363200E-03,1.2953500E-03,1.0993200E-03,9.3706600E-04,8.0272600E-04,6.8914800E-04,5.9504200E-04,5.1442900E-04,4.4670100E-04,3.8919900E-04,3.3936200E-04,2.9623600E-04,2.5940000E-04,2.2758700E-04,1.9984900E-04,1.7543100E-04,1.5394300E-04,1.3524500E-04
382.5,6.0407300E-01,5.1684000E-01,4.4014400E-01,3.7293900E-01,3.0516800E-01,2.4735500E-01,1.9334900E-01,1.4362000E-01,1.0118900E-01,6.9072800E-02,4.6126500E-02,3.1969100E-02,2.1917900E-02,1.5556800E-02,1.1212000E-02,8.2759600E-03,6.3035000E-03,4.9514300E-03,3.9591500E-03,3.2204100E-03,2.6644200E-03,2.2227800E-03,1.8621300E-03,1.5729100E-03,1.3377400E-03,1.1449300E-03,9.8458900E-04,8.5068100E-04,7.3659200E-04,6.4145600E-04,5.5949100E-04,4.8996700E-04,4.3057600E-04,3.7865700E-04,3.3363600E-04,2.9469400E-04,2.6073900E-04,2.3090800E-04,2.0443200E-04,1.8090200E-04,1.6017400E-04
387.5,6.5972000E-01,5.7041300E-01,4.9104400E-01,4.2063100E-01,3.4815400E-01,2.8553600E-01,2.2589600E-01,1.6992500E-01,1.2130900E-01,8.3934900E-02,5.6823200E-02,3.9909400E-02,2.7727800E-02,1.9936400E-02,1.4552700E-02,1.0877100E-02,8.3866300E-03,6.6671600E-03,5.3940900E-03,4.4390900E-03,3.7153400E-03,3.1353600E-03,2.6569800E-03,2.2698400E-03,1.9522700E-03,1.6898600E-03,1.4696000E-03,1.2839600E-03,1.1242000E-03,9.8988100E-04,8.7304100E-04,7.7308600E-04,6.8683800E-04,6.1066300E-04,5.4389600E-04,4.8569400E-04,4.3436800E-04,3.8885700E-04,3.4800800E-04,3.1129800E-04,2.7864100E-04
392.5,7.1120800E-01,6.1870700E-01,5.3599600E-01,4.6216100E-01,3.8522200E-01,3.1815600E-01,2.5364700E-01,1.9241000E-01,1.3861700E-01,9.6816900E-02,6.6179000E-02,4.6901700E-02,3.2883700E-02,2.3847100E-02,1.7553000E-02,1.3225200E-02,1.0275200E-02,8.2284100E-03,6.7045900E-03,5.5554800E-03,4.6807100E-03,3.9758700E-03,3.3906800E-03,2.9152700E-03,2.5234000E-03,2.1968100E-03,1.9224200E-03,1.6899200E-03,1.4888500E-03,1.3189100E-03,1.1702100E-03,1.0424000E-03,9.3163100E-04,8.3325700E-04,7.4603200E-04,6.6996700E-04,6.0277300E-04,5.4274800E-04,4.8854700E-04,4.3959400E-04,3.9587800E-04
397.5,8.6534700E-01,7.5889500E-01,6.6283400E-01,5.7619000E-01,4.8435600E-01,4.0348000E-01,3.2453500E-01,2.4848800E-01,1.8078600E-01,1.2755900E-01,8.8097300E-02,6.3062500E-02,4.4661600E-02,3.2704500E-02,2.4303800E-02,1.8483100E-02,1.4490500E-02,1.1705500E-02,9.6201900E-03,8.0389400E-03,6.8298000E-03,5.8493800E-03,5.0289600E-03,4.3590400E-03,3.8036200E-03,3.3396200E-03,2.9453300E-03,2.6097600E-03,2.3173800E-03,2.0690000E-03,1.8501200E-03,1.6609300E-03,1.4959700E-03,1.3484000E-03,1.2166000E-03,1.1012800E-03,9.9838900E-04,9.0607100E-04,8.2186800E-04,7.4516600E-04,6.7626400E-04
